DATE,TIME,OPEN,HIGH,LOW,CLOSE
20210106,920,14244.15,14244.15,14203.50,14229.65
20210106,925,14227.65,14239.30,14224.10,14226.15
20210106,930,14226.50,14228.10,14204.20,14204.20
20210106,935,14205.20,14206.55,14188.05,14190.50
20210106,940,14191.40,14200.00,14183.35,14197.90
20210106,945,14198.65,14203.50,14191.05,14201.05
20210106,950,14201.15,14219.20,14201.15,14212.55
20210106,955,14211.45,14223.35,14208.80,14216.70
20210106,1000,14217.55,14223.05,14212.35,14217.45
20210106,1005,14216.85,14220.45,14199.05,14201.30
20210106,1010,14201.10,14201.60,14183.75,14193.35
20210106,1015,14193.25,14194.00,14174.70,14191.70
20210106,1015,14244.15,14244.15,14174.70,14191.70
20210106,1020,14192.20,14201.30,14185.75,14193.35
20210106,1025,14193.40,14203.30,14187.25,14203.30
20210106,1030,14203.50,14207.80,14195.25,14201.30
20210106,1035,14201.35,14203.45,14186.40,14191.65
20210106,1040,14192.00,14200.45,14191.90,14199.70
20210106,1045,14200.35,14209.50,14198.85,14208.50
20210106,1050,14207.90,14217.20,14206.95,14208.90
20210106,1055,14209.10,14216.80,14206.50,14215.05
20210106,1100,14215.20,14220.50,14213.25,14214.60
20210106,1105,14214.50,14215.05,14210.15,14212.70
20210106,1110,14215.85,14219.10,14212.60,14213.45
20210106,1115,14214.00,14218.55,14211.45,14216.45
20210106,1115,14192.20,14220.50,14185.75,14216.45
20210106,1120,14216.85,14217.75,14213.95,14216.40
20210106,1125,14216.15,14216.95,14211.15,14211.50
20210106,1130,14211.95,14212.85,14199.40,14209.80
20210106,1135,14209.70,14217.50,14207.65,14210.45
20210106,1140,14210.55,14215.25,14204.45,14212.25
20210106,1145,14212.00,14213.60,14209.00,14211.20
20210106,1150,14211.05,14211.15,14194.55,14198.15
20210106,1155,14197.95,14198.05,14187.85,14194.10
20210106,1200,14193.50,14200.00,14185.40,14199.80
20210106,1205,14199.60,14200.05,14185.45,14189.35
20210106,1210,14188.60,14189.55,14177.45,14187.00
20210106,1215,14187.50,14195.65,14186.55,14189.05
20210106,1215,14216.85,14217.75,14177.45,14189.05
20210106,1220,14188.85,14199.00,14186.45,14198.10
20210106,1225,14198.05,14207.40,14197.60,14206.25
20210106,1230,14206.60,14211.00,14206.05,14210.40
20210106,1235,14209.35,14210.95,14202.60,14207.90
20210106,1240,14207.65,14209.70,14204.60,14208.65
20210106,1245,14208.75,14212.80,14197.80,14199.50
20210106,1250,14199.55,14204.65,14190.90,14203.85
20210106,1255,14204.00,14207.90,14203.45,14204.70
20210106,1300,14204.75,14205.40,14188.30,14193.70
20210106,1305,14193.35,14205.30,14192.80,14201.65
20210106,1310,14201.75,14202.50,14186.35,14187.20
20210106,1315,14187.50,14192.15,14177.15,14178.15
20210106,1315,14188.85,14212.80,14177.15,14178.15
20210106,1320,14179.05,14191.70,14161.75,14187.30
20210106,1325,14188.45,14201.10,14188.20,14193.75
20210106,1330,14193.45,14195.85,14182.55,14184.40
20210106,1335,14184.50,14187.55,14170.15,14177.00
20210106,1340,14176.75,14177.65,14149.50,14149.95
20210106,1345,14149.10,14156.75,14124.30,14155.30
20210106,1350,14154.80,14154.80,14119.45,14124.20
20210106,1355,14123.90,14124.20,14090.40,14115.75
20210106,1400,14115.65,14136.00,14110.70,14122.20
20210106,1405,14121.85,14127.60,14110.45,14122.80
20210106,1410,14121.95,14124.10,14076.30,14076.40
20210106,1415,14076.20,14082.45,14039.90,14074.85
20210106,1415,14179.05,14201.10,14039.90,14074.85
20210106,1420,14073.60,14115.90,14063.25,14107.85
20210106,1425,14108.15,14119.80,14097.25,14102.95
20210106,1430,14103.55,14116.50,14099.45,14108.35
20210106,1435,14108.60,14110.65,14078.85,14093.35
20210106,1440,14093.70,14105.95,14089.30,14096.70
20210106,1445,14096.20,14138.25,14095.95,14137.10
20210106,1450,14138.25,14151.85,14138.05,14139.80
20210106,1455,14139.05,14149.45,14130.90,14140.35
20210106,1500,14141.10,14145.10,14133.20,14145.10
20210106,1505,14145.20,14163.75,14145.20,14161.95
20210106,1510,14161.90,14166.35,14145.80,14147.60
20210106,1515,14146.95,14150.90,14137.65,14148.85
20210106,1515,14073.60,14166.35,14063.25,14148.85
20210106,1520,14148.25,14157.90,14140.75,14146.75
20210106,1525,14147.60,14151.20,14124.05,14139.75
20210106,1530,14139.25,14139.90,14127.25,14134.05
