Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Pivot,R1,S1,R2,S2
02-Jan-2017,8210.1,8212.0,8133.8,8179.5,122016111,5255.49,0.0,0.0,0.0,0.0,0.0
03-Jan-2017,8196.05,8219.1,8148.6,8192.25,131186021,6053.67,8175.1,8216.4,8138.2,8253.3,8096.9
04-Jan-2017,8202.65,8218.5,8180.9,8190.5,136476345,6543.13,8186.65,8224.7,8154.2,8257.15,8116.15
05-Jan-2017,8226.65,8282.65,8223.7,8273.8,163957452,8180.68,8196.63,8212.36,8174.76,8234.23,8159.03
06-Jan-2017,8281.85,8306.85,8233.25,8243.8,143689850,7298.74,8260.05,8296.4,8237.45,8319.0,8201.1
09-Jan-2017,8259.35,8263.0,8227.75,8236.05,102211190,5197.62,8261.3,8289.35,8215.75,8334.9,8187.7
10-Jan-2017,8262.7,8293.8,8261.0,8288.6,147312927,6904.57,8242.27,8256.79,8221.54,8277.52,8207.02
11-Jan-2017,8327.8,8389.0,8322.25,8380.65,192285417,8938.68,8281.13,8301.26,8268.46,8313.93,8248.33
12-Jan-2017,8391.05,8417.2,8382.3,8407.2,177948383,7359.24,8363.97,8405.69,8338.94,8430.72,8297.22
13-Jan-2017,8457.65,8461.05,8373.15,8400.35,190949616,9156.16,8402.23,8422.16,8387.26,8437.13,8367.33
16-Jan-2017,8390.95,8426.7,8374.4,8412.8,127938836,6043.67,8411.52,8449.89,8361.99,8499.42,8323.62
17-Jan-2017,8415.05,8440.9,8378.3,8398.0,125781216,6389.21,8404.63,8434.86,8382.56,8456.93,8352.33
18-Jan-2017,8403.85,8460.3,8397.4,8417.0,168867039,7411.23,8405.73,8433.16,8370.56,8468.33,8343.13
19-Jan-2017,8418.4,8445.15,8404.05,8435.1,170956149,7324.14,8424.9,8452.4,8389.5,8487.8,8362.0
20-Jan-2017,8404.35,8423.65,8340.95,8349.35,208901233,9014.51,8428.1,8452.15,8411.05,8469.2,8387.0
23-Jan-2017,8329.6,8404.15,8327.2,8391.5,200993100,8664.94,8371.32,8401.69,8318.99,8454.02,8288.62
