trade_num,efilename,exfilename,tradedate,scriptname,nifty,sector,quantity,entryprice,slprice,entryreason,entrytime,exitprice,exittime,exitreason,tradetype,riskreward,profitloss,capital,mistakeslearning,papertrade
1,entry_tetset_2019-01-27_10_46_18_AM.jpg,exit_tetset_2019-01-27_10_46_18_AM.jpg,2019-01-27,JSK,None,None,0,0.0,0.0,JAI SHREE KRISHNA,10_46_18_AM,0.0,10_46_18_AM,este,,0R,0.0,10000,.,False
2,entry_LT_2019-02-04_10_22_54_PM.jpg,exit_LT_2019-02-04_10_22_54_PM.jpg,2019-02-04,LT,None,None,7,1312.06,1336.2,entry near resistance but was worried it prices pull up a little.,10_22_54_PM,1324.0,10_22_54_PM,NONE,SHORT,0.98R,83.58,8500,Booked. Did not hold it longer. but it's okay. i need to be profitable this time. not to capture big move.,False
3,entry_HCLTECH_2019-02-05_10_18_32_PM.jpg,exit_HCLTECH_2019-02-05_10_18_32_PM.jpg,2019-02-05,HCLTECH,None,None,9,1047.9,1062.0,entry in hcl: Script did not move as expected. and exited.,10_18_32_PM,1052.0,10_18_32_PM,NONE,SHORT,0.41R,36.9,8740,..booked around market close.,False
4,entry_MARICO_2019-02-05_10_22_57_PM.jpg,exit_MARICO_2019-02-05_10_22_57_PM.jpg,2019-02-05,MARICO,None,None,19,366.0,361.4,long but market was kind of dull. ,10_22_57_PM,365.05,10_22_57_PM,NONE,LONG,-0.21R,-18.05,8740,exited in haflway. was not good.,False
5,NONE,NONE,2019-02-05,MARICO2,None,None,22,365.5,361.5,Again entered. ,10_26_48_PM,367.26,10_26_48_PM,NONE,LONG,0.44R,38.72,8740,booked. but in loss.,False
6,entry_IBULHSGFIN_2019-02-05_10_28_29_PM.jpg,exit_IBULHSGFIN_2019-02-05_10_28_29_PM.jpg,2019-02-05,IBULHSGFIN,None,None,19,645.0,640.4,Entered too early in order to capture good RR but paid the price.,10_28_29_PM,640.5,10_28_29_PM,NONE,LONG,-0.98R,-85.5,8740,...SL hit. price moved too down. also my levels seems also wrong.,False
7,entry_INDUSBANK_2019-02-05_10_35_56_PM.jpg,exit_INDUSBANK_2019-02-05_10_35_56_PM.jpg,2019-02-05,INDUSBANK,None,None,4,1550.0,1550.0,SL hit: it did not retraced back and prices moved up rapidly.,10_35_56_PM,1530.0,10_35_56_PM,NONE,SHORT,-1R,-80.0,8740,STOP loss hit,False
8,NONE,exit_ITC_2019-02-05_10_42_01_PM.jpg,2019-02-05,ITC,None,None,38,275.0,272.7,entered but prices did not moved up much.i did had chance to go out for breakeven if i would have hold it longer.,10_42_01_PM,273.5,10_42_01_PM,NONE,LONG,-0.65R,-57.0,8740,exited in loss.,False
9,entry_JSWSTEEL_2019-02-06_10_23_15_PM.jpg,exit_JSWSTEEL_2019-02-06_10_23_15_PM.jpg,2019-02-06,JSWSTEEL,None,None,30,271.95,278.3,,10_23_15_PM,275.5,10_23_15_PM,NONE,SHORT,1.27R,106.5,8500,Exited at good time. otherwise can be in less profits.,False
10,entry_BIOCON_2019-02-06_10_25_56_PM.jpg,NONE,2019-02-06,BIOCON,None,None,16,643.7,638.5,entry:was catching the falling knife.,10_25_56_PM,638.5,10_25_56_PM,NONE,LONG,-1R,-83.2,8500,Losses. even though markets are green but in losses,False
11,entry_AMARAJABAT_2019-02-06_10_28_16_PM.jpg,NONE,2019-02-06,AMARAJABAT,None,None,11,789.3,789.3,Entered twice here.  but it break my line due to bullish sentiments.,10_28_16_PM,781.5,10_28_16_PM,NONE,SHORT,-1R,-85.8,8500,Losses,False
12,NONE,NONE,2019-02-06,AMARAJABAT,None,None,13,790.7,789.3,,10_30_20_PM,783.9,10_30_20_PM,NONE,SHORT,-1.26R,-88.4,8500,losses.,False
13,entry_UJJIVAN_2019-02-06_10_31_42_PM.jpg,NONE,2019-02-06,UJJIVAN,None,None,22,291.1,297.6,it was gapped hence booked.,10_31_42_PM,293.0,10_31_42_PM,NONE,SHORT,0.41R,41.8,8500,..,False
14,entry_INFRATEL_2019-02-06_10_34_14_PM.jpg,NONE,2019-02-06,INFRATEL,None,None,13,294.8,301.0,no movement. all shorts went long. all long gone down further.,10_34_14_PM,294.3,10_34_14_PM,NONE,SHORT,-0.07R,-6.5,8500,..,False
15,entry_IBULHSGFIN_2019-02-07_10_43_01_PM.jpg,exit_IBULHSGFIN_2019-02-07_10_43_01_PM.jpg,2019-02-07,IBULHSGFIN,None,None,7,652.5,641.0,entry: it has bullish view. support was taken. prices moved very good. ,10_43_01_PM,662.65,10_43_01_PM,NONE,LONG,0.88R,71.05,8300,Booked out. i was more focussed on getting the whatever amount i could get,False
16,NONE,NONE,2019-02-07,IBULHSGFIN 2,None,None,9,650.0,641.0,Entry again. on lower price. little risky,10_46_13_PM,662.65,10_46_13_PM,NONE,LONG,1.41R,113.85,8300,Booked. this also. could wait more.,False
17,entry_INDIANB_2019-02-07_10_47_31_PM.jpg,exit_INDIANB_2019-02-07_10_47_31_PM.jpg,2019-02-07,INDIANB,None,None,31,214.0,211.3,My trailing Sl hit. entry but booked on a profit.,10_47_31_PM,216.3,10_47_31_PM,..,LONG,0.85R,71.3,8300,.Not a good RR. MAKE SURE NOT TO MOVE SL QUICKLY. LET THE TRADE FORM THE TREND.,False
18,NONE,NONE,2019-02-07,INDIANB,None,None,24,214.8,211.3,entered again on higher price exited with very little profit.,10_50_01_PM,216.81,10_50_01_PM,NONE,LONG,0.57R,48.24,8300,Booked,False
19,entry_CHENNPETRO_2019-02-07_10_51_39_PM.jpg,exit_CHENNPETRO_2019-02-07_10_51_39_PM.jpg,2019-02-07,CHENNPETRO,None,None,22,226.9,223.3,ENTERED BUT PRICES WERENO MOVING HENC MOVED MY SL AND IT HIT.,10_51_39_PM,226.05,10_51_39_PM,NONE,LONG,-0.24R,-18.7,8300,LITTLE LOSS. BUT COULD HAVE BEEN A GREAT TRADE..,False
20,entry_RBLBANK_2019-02-08_10_08_28_PM.jpg,exit_RBLBANK_2019-02-08_10_08_28_PM.jpg,2019-02-08,RBLBANK,None,None,12,573.7,590.1,This time i have put the target of 1.3R.,10_08_28_PM,583.0,10_08_28_PM,NONE,SHORT,1.31R,111.6,8600,...booked when seeing good profits. not specific criteria.,False
21,NONE,NONE,2019-02-08,RBLBANK2,None,None,14,573.75,590.1,Entry.Short,10_14_10_PM,584.0,10_14_10_PM,NONE,SHORT,1.68R,143.5,8600,I booked it manually. was thinking to trail it longer but eventually booked it.,False
22,entry_INDIANB_2019-02-08_10_16_35_PM.jpg,exit_INDIANB_2019-02-08_10_16_35_PM.jpg,2019-02-08,INDIANB,None,None,25,214.5,211.0,long entry was not good in red market.,10_16_35_PM,215.5,10_16_35_PM,NONE,LONG,0.29R,25.0,8850,booked as was not sure.,False
