trade_num,efilename,exfilename,tradedate,scriptname,nifty,sector,quantity,entryprice,slprice,entryreason,entrytime,exitprice,exittime,exitreason,tradetype,riskreward,profitloss,capital,mistakeslearning,papertrade
1,entry_TATAELEXI_2018-11-22_4354.jpg,exit_TATAELEXI_2018-11-22_retret.jpg,11/22/2018,TATAELEXI,GREEN,UP,11,984.5,997.1,going down after shaking weak hands,4354,989.5,retret,,SHORT,0.66R,55.0,8700,exited as no momentum shown and it later movedup,True
2,entry_INDIANB_2018-11-22_5454.jpg,exit_INDIANB_2018-11-22_454.jpg,11/22/2018,INDIANB,GREEN,UP,21,227.0,235.1,going down after touching my resistance line,5454,231.0,454,,SHORT,0.98R,84.0,8700,It was a good short trade. Went down but not a good RR as my SL was far.,True
3,entry_UJJIVAN_2018-11-22_.jpg,exit_UJJIVAN_2018-11-22_3434.jpg,11/22/2018,UJJIVAN, RANGEBOUND,DDOWN,28,220.0,216.9,gap was filled.stock went down till the line hence support here triggered buy,324324,225.0,3434,exited as target achieved.,LONG,1.61R,140.0,8700,it was LONG call. as that line should be acting as crucial support. i entered and then moved up later closed below it.,True
4,entry_HINDALCO_2018-11-26_.jpg,exit_HINDALCO_2018-11-26_null.jpg,11/26/2018,HINDALCO,GREEN,UP,51,217.5,215.8,support from line.,323232,215.8,2222,sl hit,LONG,-1R,-86.7,8700,sl hit,True
5,entry_TATAELXSI_2018-11-26_.jpg,exit_TATAELXSI_2018-11-26_null.jpg,11/26/2018,TATAELXSI,none,UP,26,960.0,956.6,going up from support.,333,995.0,333,more than target price.,LONG,10.29R,910.0,8700,seriously man!! this is paper trade. am i being lucky ?? or what. this kind of move.? is this my analysis or something else luck? i will experience this in real for sure.,True
6,entry_KPIT_2018-11-26_.jpg,exit_KPIT_2018-11-26_null.jpg,11/26/2018,KPIT, RANGEBOUND,DDOWN,32,198.0,195.3,up from support.,333,205.2,333,more than target.,LONG,2.67R,230.4,8700,moved up from the resistance line. good move. but in practical situations i will see.,True
7,entry_BPCL_2018-11-26_.jpg,exit_BPCL_2018-11-26_null.jpg,11/26/2018,BPCL, RANGEBOUND,DDOWN,24,324.2,332.7,resistance.,3333,329.0,333,target achieved,SHORT,1.3R,115.2,8700,moved down from resistance. i placed for some upper price to short.,True
8,entry_YESBANK_2018-11-26_.jpg,exit_YESBANK_2018-11-26_null.jpg,11/26/2018,YESBANK, RANGEBOUND,none,24,183.6,180.0,at the support.,3333,188.5,2333,target achieved,LONG,1.36R,117.6,8700,it moved by taking support.,True
9,entry_HINDALCO_2018-11-27_NONE.jpg,exit_HINDALCO_2018-11-27_NONE.jpg,11/27/2018,HINDALCO, RANGEBOUND,DDOWN,51,215.3,213.6,"below the line, may go up from there",NONE,213.6,NONE,sl hit.,LONG,-1R,-86.7,8700,Stop loss hit missed just by few points. otherwise can be profitable. it's always some long stops hits then moved in the direction. that''s why a reasonable sl is very important. as big boys know where most of the sl lies.,True
10,entry_NIITTECH_2018-11-27_NONE.jpg,exit_NIITTECH_2018-11-27_NONE.jpg,11/27/2018,NIITTECH, RANGEBOUND,UP,8,1084.0,1106.0,at the resistance line. Could be more aggressive and short it,NONE,1095.0,NONE,no movement to downside.,SHORT,1R,88.0,8700,market moved up and that is the time i get out of it for whatever  i am getting.,True
11,entry_ACC_2018-11-27_NONE.jpg,exit_ACC_2018-11-27_NONE.jpg,11/27/2018,ACC, RANGEBOUND,none,9,1438.0,1428.0,at the support line.,NONE,1446.0,NONE,,LONG,0.8R,72.0,8700,This stock was usually range bound.  did not gave much movement.,True
12,entry_GAIL_2018-11-28_NONE.jpg,exit_GAIL_2018-11-28_NONE.jpg,11/28/2018,GAIL,none,none,28,353.4,353.4,going above resistance line,NONE,350.3,NONE,man!!! it just kissed my sl and moved down.,SHORT,-1R,-86.8,8700,It just kissed my sl and moved down otherwise it would have been a great trade for me. to avoid this only thing to do is to wait. and see smaller time frames. SAME HERE WAIT FOR PRICE ACTION TO CONFIRM REVERSAL THEN ONLY ENTER.,True
