EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=300
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=330
a1532317800,1453.45,1464.3,1426.1,1428,171926
1,1449.35,1454.8,1445.9,1454,101775
2,1448.65,1458.8,1448.2,1449.4,67678
3,1444.75,1449.8,1444,1448,61654
4,1439.8,1445,1439,1444.3,41668
5,1439.15,1443.5,1437,1440,44675
6,1434.3,1439.15,1431.05,1439.15,33308
7,1440.65,1442,1433.8,1434.3,18930
8,1436,1441.95,1434,1440.45,19029
9,1437,1437,1433,1436.05,16351
10,1434.7,1437,1434.15,1437,8777
11,1437.55,1439.7,1434.55,1434.55,13975
12,1436.75,1439.25,1435.25,1437.9,16712
13,1439.4,1440,1435.5,1436.75,12473
14,1438.15,1440.95,1437.7,1438.95,9860
15,1433.2,1438.15,1431.7,1438,18220
16,1432.9,1435.85,1432.45,1433.3,14235
17,1431.95,1434.65,1431.5,1432.75,13533
18,1431.05,1432,1429.8,1431.95,29517
19,1427.95,1431.85,1426.1,1431.05,14641
20,1431,1431.5,1427.5,1427.8,17131
21,1428,1431,1427.55,1431,9208
22,1426.5,1428.4,1422.65,1428,31519
23,1429.35,1429.45,1426.5,1426.8,10739
24,1426.5,1429.7,1426.5,1429.6,8710
25,1427.55,1427.55,1426.45,1426.55,8444
26,1428.75,1428.75,1426.55,1427.6,6349
27,1426.2,1428.5,1426.1,1428.45,23277
28,1425.05,1426.6,1424.95,1426.2,13217
29,1424.25,1426,1424.2,1425.05,34714
30,1422.2,1424.5,1422.1,1424.5,13346
31,1417.45,1423,1417.35,1423,29805
32,1416.7,1418.7,1414.55,1418.65,32224
33,1408.5,1416.95,1408.05,1416.35,41268
34,1408.9,1410,1406.1,1408,25498
35,1407.25,1411.75,1407.05,1408.35,22189
36,1401.5,1408.5,1401.4,1407.15,32072
37,1399.05,1404.15,1396.6,1401.75,46813
38,1402,1402.8,1396.7,1399.15,21652
39,1404.9,1406.35,1400.05,1402,81719
40,1406.2,1406.2,1404,1405,14183
41,1409.3,1410.9,1406,1406,29108
42,1405.8,1409.95,1402.9,1409.15,43154
43,1405.1,1406,1404.15,1405.8,8558
44,1406,1407.8,1405.1,1405.1,9745
45,1407.8,1409,1406,1406,8338
46,1408.55,1408.65,1405.75,1407.8,9595
47,1409.4,1410,1408,1408.55,18714
48,1411.2,1411.2,1407.1,1409.4,22445
49,1410.9,1412,1410.05,1411.05,12410
50,1411.55,1412.5,1410,1411.1,13462
51,1409.45,1411.5,1408,1411.5,11426
52,1407.1,1411.95,1405.6,1409.4,18745
53,1406.7,1407.95,1405.2,1407.1,74067
54,1411.2,1411.25,1406.9,1406.9,6672
55,1410,1411.5,1407.05,1411.3,9129
56,1411,1411.15,1409,1410.05,9149
57,1413.7,1414,1410.5,1411.2,10748
58,1416.55,1416.65,1413,1413.7,21228
59,1420,1423,1415,1416.55,39460
60,1421.5,1422.75,1418.9,1419.95,19032
61,1424.7,1424.9,1421,1421.5,14361
62,1424,1425,1422,1424.7,14139
63,1422,1423.65,1419.55,1423.65,18015
64,1421.4,1423,1421,1422,10785
65,1420.65,1422.3,1420.15,1421.7,8713
66,1419.65,1421,1419.4,1420.65,10291
67,1429.25,1430,1420.05,1420.6,30749
68,1433.05,1435,1428.55,1429,48850
69,1429.5,1434.95,1429,1433.5,23973
70,1435.55,1437,1428.95,1429.55,25544
71,1432.7,1436.75,1432.55,1435.5,16977
72,1432.25,1435,1431.05,1432.8,35889
73,1431.55,1433.4,1430.3,1432.85,28011
74,1433.5,1436.95,1432,1432.2,31374
