EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=300
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=330
a1532577000,531.75,535.4,531.7,535.4,190396
1,532.2,533.45,531.5,531.95,126661
2,529.9,533.05,529.1,532.35,159016
3,530.7,531.4,529.7,529.8,52119
4,530.15,530.85,530.1,530.65,39310
5,528.45,530.7,528,530.2,104504
6,527.2,528.55,526.55,528.35,88624
7,528.95,528.95,526.95,527.2,59292
8,529.3,529.6,528.05,528.9,77075
9,531,531,529.05,529.35,87487
10,532.3,532.75,530.75,530.95,63139
11,533.35,533.55,532.05,532.25,87331
12,531.6,533.35,531.25,533.35,60574
13,532.75,532.8,531.6,531.6,31610
14,533.25,533.45,532.5,532.7,48748
15,533.05,534.8,533,533.3,109125
16,536.7,537.05,532.2,533,154342
17,534.65,537,534.4,536.65,95058
18,533.25,534.65,532.45,534.65,72797
19,534.1,534.6,532.5,533.35,42753
20,535.25,536,534.15,534.4,60402
21,534.35,535.35,533.7,535.1,39508
22,533,534.5,532.1,534.2,60325
23,531.8,533.4,530.65,532.95,86983
