EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=300
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=330
a1532490300,355.8,355.8,355.8,355.8,1149
1,351.05,355.5,351.05,355.2,87103
2,351.55,352.25,350.05,351.1,58335
3,349.9,351.75,349.55,351.55,94940
4,349.15,350.3,348.85,349.7,81789
5,349.8,350.2,349.1,349.1,49369
6,349.25,351.05,348.85,349.95,152842
7,347.8,350,347.6,349.65,111119
8,348.8,349.65,347.7,348,43303
9,348.35,348.75,348.15,348.75,18382
10,346.9,348.8,346.8,348.4,79632
11,346.05,347.25,345.75,346.85,179278
12,346.2,346.35,345.7,346.1,63233
13,344.65,346.2,344.3,346.2,185721
14,345.25,345.5,344.45,344.5,70459
15,344.85,345.75,344.35,345.3,57459
16,343.9,345,343.5,344.95,111910
17,344,344.4,343.8,344,39896
18,343.8,344.6,343.6,344.1,37387
19,344.6,344.65,343.8,344,32087
20,345.65,345.7,344.25,344.6,221818
21,345.15,346.45,345.15,345.8,68092
