EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=300
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=330
a1532058300,1338,1338,1338,1338,5506
1,1358.25,1358.25,1336.3,1337.95,173161
2,1354,1366.3,1353.9,1358.45,200043
3,1350,1355.85,1349.15,1354.25,184126
4,1345.65,1351,1342.2,1349.55,66631
5,1343.95,1350.05,1342.75,1345.5,53380
6,1350.15,1351.35,1342.5,1343.85,75201
7,1351,1352.7,1350,1350.5,28494
8,1349,1350.7,1345.2,1350.25,14430
9,1349.65,1352.15,1348.2,1348.8,38014
10,1347.65,1350.1,1346.5,1349.65,17536
11,1345.3,1348.3,1344.05,1347.05,39813
12,1345.15,1348,1345.15,1345.4,39332
13,1342,1346.55,1340,1345.1,100564
14,1340.3,1343.95,1340,1342.15,61866
15,1340,1342,1337.6,1339.95,49324
16,1340,1340.05,1339.45,1339.95,27711
17,1342.55,1343.75,1339.95,1340,41441
18,1340.55,1343,1339.9,1343,16945
19,1341.1,1342.05,1340.15,1340.55,17737
20,1339.95,1341.9,1339.65,1341.15,28712
21,1342.6,1342.7,1339.65,1339.95,38691
22,1340.25,1342.1,1339,1342,38434
23,1340,1340.6,1339.6,1340.25,18067
24,1339.1,1340.75,1339,1339.65,14823
25,1339.45,1340.55,1339.15,1339.15,20332
