DATE,CLOSE,OPEN,HIGH,LOW,VOLUME,14_RSI,ONLY_DATES
2018-07-26 09:15:00,,,,,,,2018-07-26
2018-07-26 09:20:00,430.65,433.35,434.85,430.45,54253.0,,2018-07-26
2018-07-26 09:25:00,431.5,430.5,432.05,429.55,50995.0,,2018-07-26
2018-07-26 09:30:00,432.1,431.55,432.4,431.4,36876.0,,2018-07-26
2018-07-26 09:35:00,432.5,432.1,432.5,431.3,16607.0,,2018-07-26
2018-07-26 09:40:00,437.45,432.5,437.5,432.5,115451.0,,2018-07-26
2018-07-26 09:45:00,436.3,437.45,438.6,436.1,105352.0,,2018-07-26
2018-07-26 09:50:00,436.65,436.2,436.8,435.4,29036.0,,2018-07-26
2018-07-26 09:55:00,435.5,436.7,436.75,435.35,19186.0,,2018-07-26
2018-07-26 10:00:00,435.5,435.6,436.0,435.3,10843.0,,2018-07-26
2018-07-26 10:05:00,437.0,435.45,437.0,435.3,18990.0,,2018-07-26
2018-07-26 10:10:00,437.5,437.45,437.55,436.9,14529.0,,2018-07-26
2018-07-26 10:15:00,436.05,437.2,437.4,435.35,23593.0,,2018-07-26
2018-07-26 10:20:00,433.25,436.1,436.25,433.2,37856.0,,2018-07-26
2018-07-26 10:25:00,433.35,433.45,434.8,433.2,32831.0,,2018-07-26
2018-07-26 10:30:00,434.75,433.35,434.95,433.2,26578.0,61.91860465116291,2018-07-26
2018-07-26 10:35:00,434.2,434.75,434.9,433.4,35098.0,57.98816568047338,2018-07-26
2018-07-26 10:40:00,434.5,434.2,434.6,433.85,8251.0,57.22891566265058,2018-07-26
2018-07-26 10:45:00,435.85,434.5,436.0,434.3,10866.0,59.54415954415963,2018-07-26
2018-07-26 10:50:00,435.9,435.85,436.15,435.0,9826.0,43.87351778656118,2018-07-26
2018-07-26 10:55:00,435.45,435.9,435.9,435.0,7631.0,46.44351464435135,2018-07-26
2018-07-26 11:00:00,436.9,435.4,437.0,435.2,32653.0,50.95785440613027,2018-07-26
2018-07-26 11:05:00,435.55,436.9,436.95,434.7,31641.0,50.18867924528307,2018-07-26
2018-07-26 11:10:00,435.0,435.6,435.85,434.9,7686.0,48.18840579710144,2018-07-26
2018-07-26 11:15:00,435.35,435.0,435.45,434.2,10509.0,43.4782608695653,2018-07-26
2018-07-26 11:20:00,434.5,435.25,435.35,434.45,9529.0,38.46153846153846,2018-07-26
2018-07-26 11:25:00,433.7,434.7,434.85,433.55,11716.0,40.4858299595141,2018-07-26
2018-07-26 11:30:00,431.85,433.65,433.7,431.2,65163.0,43.8596491228071,2018-07-26
2018-07-26 11:35:00,433.4,431.75,433.55,431.65,17286.0,50.1945525291827,2018-07-26
2018-07-26 11:40:00,432.4,433.1,433.3,432.15,8499.0,40.56224899598379,2018-07-26
2018-07-26 11:45:00,431.7,432.6,432.7,431.4,11228.0,40.07936507936501,2018-07-26
2018-07-26 11:50:00,431.4,431.95,432.35,431.35,8737.0,37.69841269841252,2018-07-26
2018-07-26 11:55:00,433.4,431.4,433.45,431.2,22686.0,40.75471698113182,2018-07-26
2018-07-26 12:00:00,432.85,433.4,433.5,431.6,21776.0,38.90909090909099,2018-07-26
2018-07-26 12:05:00,431.8,433.0,433.0,431.6,16747.0,37.2822299651568,2018-07-26
2018-07-26 12:10:00,432.7,431.75,432.8,431.6,19396.0,34.7826086956521,2018-07-26
2018-07-26 12:15:00,432.2,432.8,433.2,431.8,16869.0,37.06563706563691,2018-07-26
2018-07-26 12:20:00,432.8,432.3,433.2,432.3,8577.0,41.53846153846155,2018-07-26
2018-07-26 12:25:00,432.6,432.7,433.0,432.0,6419.0,39.29961089494156,2018-07-26
2018-07-26 12:30:00,432.65,432.45,432.85,432.05,5682.0,42.323651452281965,2018-07-26
2018-07-26 12:35:00,432.25,432.5,432.7,431.75,21028.0,43.776824034334716,2018-07-26
2018-07-26 12:40:00,431.9,432.3,432.6,431.7,29546.0,50.24630541871899,2018-07-26
2018-07-26 12:45:00,431.25,431.9,432.1,431.2,15768.0,38.37837837837836,2018-07-26
2018-07-26 12:50:00,429.75,431.3,431.85,429.1,55927.0,36.410256410256366,2018-07-26
2018-07-26 12:55:00,431.85,430.0,431.95,429.75,30373.0,50.672645739910465,2018-07-26
2018-07-26 13:00:00,431.7,431.75,431.85,430.6,15677.0,51.363636363636424,2018-07-26
2018-07-26 13:05:00,431.7,431.7,431.9,431.15,8720.0,40.55555555555556,2018-07-26
2018-07-26 13:10:00,431.45,431.65,432.1,431.1,9480.0,41.954022988505535,2018-07-26
2018-07-26 13:15:00,432.2,431.5,432.35,431.5,9025.0,52.38095238095225,2018-07-26
2018-07-26 13:20:00,431.7,432.0,432.45,431.5,13160.0,43.75,2018-07-26
2018-07-26 13:25:00,432.6,431.9,432.75,431.9,11400.0,52.38095238095257,2018-07-26
2018-07-26 13:30:00,432.85,432.35,432.85,432.05,6092.0,50.31055900621125,2018-07-26
2018-07-26 13:35:00,432.35,432.95,432.95,432.2,5716.0,48.50299401197606,2018-07-26
2018-07-26 13:40:00,431.05,432.35,432.5,431.0,15103.0,41.66666666666691,2018-07-26
2018-07-26 13:45:00,431.0,431.0,431.3,430.65,8358.0,43.24324324324333,2018-07-26
2018-07-26 13:50:00,431.1,431.0,432.15,430.85,14303.0,45.55555555555586,2018-07-26
2018-07-26 13:55:00,430.4,430.9,431.1,430.35,12457.0,45.30386740331489,2018-07-26
2018-07-26 14:00:00,432.0,430.4,432.15,430.3,22164.0,62.29508196721284,2018-07-26
2018-07-26 14:05:00,431.25,432.0,432.15,431.05,11857.0,46.1538461538461,2018-07-26
2018-07-26 14:10:00,430.65,431.25,431.85,430.65,11414.0,43.6363636363637,2018-07-26
2018-07-26 14:15:00,431.0,430.6,431.6,430.1,25158.0,45.93023255813969,2018-07-26
2018-07-26 14:20:00,431.0,430.9,431.7,430.45,13367.0,47.305389221557014,2018-07-26
2018-07-26 14:25:00,430.4,431.0,431.25,430.05,13918.0,39.02439024390266,2018-07-26
2018-07-26 14:30:00,431.0,430.4,431.3,430.05,22739.0,45.78313253012067,2018-07-26
2018-07-26 14:35:00,431.75,430.95,432.25,430.8,25271.0,44.78527607361963,2018-07-26
2018-07-26 14:40:00,433.2,431.8,433.75,431.55,37118.0,51.87165775401047,2018-07-26
2018-07-26 14:45:00,432.5,433.25,433.7,432.25,13739.0,50.78534031413599,2018-07-26
2018-07-26 14:50:00,432.5,432.5,433.0,431.35,15746.0,58.78787878787853,2018-07-26
2018-07-26 14:55:00,432.3,432.4,432.85,431.55,5208.0,57.73809523809516,2018-07-26
2018-07-26 15:00:00,432.95,432.3,432.95,431.6,21162.0,60.33519553072595,2018-07-26
2018-07-26 15:05:00,428.95,432.75,432.75,427.3,135720.0,44.0816326530613,2018-07-26
2018-07-26 15:10:00,431.55,429.0,432.45,429.0,91078.0,48.30188679245288,2018-07-26
2018-07-26 15:15:00,431.8,431.5,433.0,431.25,78696.0,52.156862745098074,2018-07-26
2018-07-26 15:20:00,432.55,431.9,433.0,431.45,98346.0,57.364341085271434,2018-07-26
2018-07-26 15:25:00,434.5,432.85,434.8,432.7,84363.0,62.06896551724138,2018-07-26
2018-07-26 15:30:00,433.55,434.15,435.0,433.2,85890.0,58.252427184466065,2018-07-26
2018-07-27 09:20:00,432.25,432.25,433.3,430.4,27827.0,55.72755417956664,2018-07-27
2018-07-27 09:25:00,434.05,432.5,434.65,431.9,27377.0,58.789625360230595,2018-07-27
2018-07-27 09:30:00,433.25,434.0,434.85,433.05,18200.0,54.31034482758621,2018-07-27
2018-07-27 09:35:00,432.95,433.55,433.55,431.6,14945.0,49.23076923076923,2018-07-27
2018-07-27 09:40:00,432.3,433.3,433.3,431.5,17921.0,49.38271604938275,2018-07-27
2018-07-27 09:45:00,432.45,432.4,432.9,432.0,8985.0,49.84709480122321,2018-07-27
2018-07-27 09:50:00,431.6,431.85,432.7,431.6,14145.0,47.94117647058826,2018-07-27
2018-07-27 09:55:00,430.1,431.65,431.75,429.0,36939.0,42.016806722689154,2018-07-27
2018-07-27 10:00:00,429.75,430.2,430.6,429.75,17514.0,52.816901408450754,2018-07-27
2018-07-27 10:05:00,429.8,429.75,430.15,429.0,16202.0,42.48927038626608,2018-07-27
2018-07-27 10:10:00,430.75,429.9,430.95,429.7,7091.0,45.748987854250956,2018-07-27
2018-07-27 10:15:00,429.65,430.45,430.65,429.1,10888.0,38.58267716535419,2018-07-27
2018-07-27 10:20:00,429.65,429.65,429.95,429.15,9820.0,27.44186046511618,2018-07-27
2018-07-27 10:25:00,429.85,429.7,430.3,429.55,6760.0,31.50000000000017,2018-07-27
2018-07-27 10:30:00,429.9,429.85,430.25,429.6,5110.0,36.57142857142844,2018-07-27
2018-07-27 10:35:00,429.5,429.75,430.25,429.5,13604.0,19.047619047618838,2018-07-27
