DATE,CLOSE,OPEN,HIGH,LOW,VOLUME,14_RSI,ONLY_DATES
2018-07-26 09:15:00,,,,,,,2018-07-26
2018-07-26 09:20:00,531.75,535.4,535.4,531.7,190396.0,,2018-07-26
2018-07-26 09:25:00,532.2,531.95,533.45,531.5,126661.0,,2018-07-26
2018-07-26 09:30:00,529.9,532.35,533.05,529.1,159016.0,,2018-07-26
2018-07-26 09:35:00,530.7,529.8,531.4,529.7,52119.0,,2018-07-26
2018-07-26 09:40:00,530.15,530.65,530.85,530.1,39310.0,,2018-07-26
2018-07-26 09:45:00,528.45,530.2,530.7,528.0,104504.0,,2018-07-26
2018-07-26 09:50:00,527.2,528.35,528.55,526.55,88624.0,,2018-07-26
2018-07-26 09:55:00,528.95,527.2,528.95,526.95,59292.0,,2018-07-26
2018-07-26 10:00:00,529.3,528.9,529.6,528.05,77075.0,,2018-07-26
2018-07-26 10:05:00,531.0,529.35,531.0,529.05,87487.0,,2018-07-26
2018-07-26 10:10:00,532.3,530.95,532.75,530.75,63139.0,,2018-07-26
2018-07-26 10:15:00,533.35,532.25,533.55,532.05,87331.0,,2018-07-26
2018-07-26 10:20:00,531.6,533.35,533.35,531.25,60574.0,,2018-07-26
2018-07-26 10:25:00,532.75,531.6,532.8,531.6,31610.0,,2018-07-26
2018-07-26 10:30:00,533.25,532.7,533.45,532.5,48748.0,54.51807228915659,2018-07-26
2018-07-26 10:35:00,533.05,533.3,534.8,533.0,109125.0,52.59938837920459,2018-07-26
2018-07-26 10:40:00,536.7,533.0,537.05,532.2,154342.0,69.20903954802262,2018-07-26
2018-07-26 10:45:00,534.65,536.65,537.0,534.4,95058.0,60.422163588390234,2018-07-26
2018-07-26 10:50:00,533.25,534.65,534.65,532.45,72797.0,57.82828282828285,2018-07-26
2018-07-26 10:55:00,534.1,533.35,534.6,532.5,42753.0,64.90765171503939,2018-07-26
2018-07-26 11:00:00,535.25,534.4,536.0,534.15,60402.0,71.35278514588832,2018-07-26
2018-07-26 11:05:00,534.35,535.1,535.35,533.7,39508.0,64.99999999999984,2018-07-26
