DATE,CLOSE,OPEN,HIGH,LOW,VOLUME,14_RSI,ONLY_DATES
2018-07-26 09:15:00,,,,,,,2018-07-26
2018-07-26 09:20:00,2970.0,2968.0,2970.0,2948.95,168.0,,2018-07-26
2018-07-26 09:25:00,2979.0,2969.95,2979.0,2967.05,34227.0,,2018-07-26
2018-07-26 09:30:00,2976.85,2979.15,2980.0,2971.0,106.0,,2018-07-26
2018-07-26 09:35:00,2976.65,2971.3,2976.85,2970.0,62.0,,2018-07-26
2018-07-26 09:40:00,2970.1,2970.1,2970.1,2970.1,15.0,,2018-07-26
2018-07-26 09:45:00,2969.8,2970.1,2973.95,2969.8,168.0,,2018-07-26
2018-07-26 09:50:00,2970.15,2969.8,2970.15,2969.8,103.0,,2018-07-26
2018-07-26 09:55:00,2970.0,2970.0,2973.95,2970.0,290.0,,2018-07-26
2018-07-26 10:00:00,2973.0,2973.0,2973.0,2973.0,13.0,,2018-07-26
2018-07-26 10:05:00,2973.05,2973.0,2973.95,2973.0,23.0,,2018-07-26
2018-07-26 10:10:00,2974.0,2973.05,2974.0,2973.05,34.0,,2018-07-26
2018-07-26 10:15:00,2973.1,2974.0,2974.0,2973.1,18.0,,2018-07-26
2018-07-26 10:20:00,2973.1,2974.0,2974.0,2973.1,13.0,,2018-07-26
2018-07-26 10:25:00,2974.0,2974.0,2974.0,2974.0,5.0,,2018-07-26
2018-07-26 10:30:00,2974.95,2973.15,2975.0,2973.15,55.0,59.72495088408616,2018-07-26
2018-07-26 10:35:00,2973.05,2973.0,2974.95,2973.0,52.0,33.78746594005452,2018-07-26
2018-07-26 10:40:00,2975.0,2973.0,2975.0,2973.0,205.0,44.90358126721765,2018-07-26
2018-07-26 10:45:00,2975.0,2973.0,2975.0,2973.0,675.0,45.403899721448056,2018-07-26
2018-07-26 10:50:00,2973.05,2973.05,2973.05,2973.05,6.0,61.04868913857863,2018-07-26
2018-07-26 10:55:00,2971.0,2975.0,2975.0,2971.0,96.0,53.97350993377438,2018-07-26
2018-07-26 11:00:00,,,,,,,2018-07-26
2018-07-26 11:05:00,2974.65,2971.0,2974.65,2971.0,35.0,,2018-07-26
2018-07-26 11:10:00,2971.25,2971.25,2971.25,2971.25,1.0,,2018-07-26
2018-07-26 11:15:00,2971.85,2971.0,2971.9,2970.1,93.0,,2018-07-26
2018-07-26 11:20:00,2972.0,2972.0,2972.0,2972.0,86.0,,2018-07-26
