DATE,CLOSE,OPEN,HIGH,LOW,VOLUME,14_RSI,ONLY_DATES
2018-07-26 09:15:00,,,,,,,2018-07-26
2018-07-26 09:20:00,355.65,353.0,356.7,352.65,106574.0,,2018-07-26
2018-07-26 09:25:00,357.45,355.7,358.3,355.05,88933.0,,2018-07-26
2018-07-26 09:30:00,354.35,357.65,357.65,354.3,127104.0,,2018-07-26
2018-07-26 09:35:00,354.65,354.35,356.65,354.35,52227.0,,2018-07-26
2018-07-26 09:40:00,355.3,354.85,355.85,354.75,31998.0,,2018-07-26
2018-07-26 09:45:00,355.75,355.3,355.9,355.0,24729.0,,2018-07-26
2018-07-26 09:50:00,356.0,355.75,356.65,355.6,34344.0,,2018-07-26
2018-07-26 09:55:00,356.6,356.0,356.6,355.2,22731.0,,2018-07-26
2018-07-26 10:00:00,356.35,356.6,357.0,356.25,22703.0,,2018-07-26
2018-07-26 10:05:00,356.35,356.4,356.6,356.05,15318.0,,2018-07-26
2018-07-26 10:10:00,356.15,356.25,356.3,355.35,30798.0,,2018-07-26
2018-07-26 10:15:00,358.3,356.3,359.4,356.2,156997.0,,2018-07-26
2018-07-26 10:20:00,357.0,358.3,358.7,356.6,44434.0,,2018-07-26
2018-07-26 10:25:00,356.55,356.9,357.4,356.45,17362.0,,2018-07-26
2018-07-26 10:30:00,356.7,356.55,356.8,356.35,15497.0,54.50643776824038,2018-07-26
2018-07-26 10:35:00,355.35,356.7,356.7,354.6,48202.0,40.625000000000135,2018-07-26
2018-07-26 10:40:00,355.35,355.5,356.7,354.6,35209.0,56.172839506172814,2018-07-26
2018-07-26 10:45:00,356.0,355.35,356.2,354.8,183956.0,57.988165680473465,2018-07-26
2018-07-26 10:50:00,357.3,356.15,357.45,356.0,63220.0,60.989010989010964,2018-07-26
2018-07-26 10:55:00,357.1,357.35,358.4,357.0,66460.0,57.627118644067906,2018-07-26
2018-07-26 11:00:00,356.75,357.1,357.45,356.65,20818.0,54.18994413407819,2018-07-26
2018-07-26 11:05:00,356.6,356.95,357.0,356.6,8219.0,50.0,2018-07-26
2018-07-26 11:10:00,355.6,356.5,356.6,355.2,25429.0,45.945945945945944,2018-07-26
2018-07-26 11:15:00,356.2,355.75,356.5,354.9,68403.0,49.23857868020287,2018-07-26
2018-07-26 11:20:00,356.0,356.45,357.0,355.25,61926.0,49.238578680203155,2018-07-26
2018-07-26 11:25:00,355.8,356.05,356.2,355.5,7614.0,34.17721518987315,2018-07-26
2018-07-26 11:30:00,355.5,355.75,355.95,355.25,7426.0,39.13043478260848,2018-07-26
2018-07-26 11:35:00,355.6,355.7,356.0,355.5,11725.0,42.74809160305341,2018-07-26
2018-07-26 11:40:00,355.2,355.8,355.8,355.05,14364.0,38.97058823529405,2018-07-26
2018-07-26 11:45:00,354.65,355.2,356.4,354.55,66235.0,44.16666666666629,2018-07-26
2018-07-26 11:50:00,356.5,354.65,356.5,353.35,87799.0,57.32484076433104,2018-07-26
2018-07-26 11:55:00,356.1,356.5,356.9,356.1,22905.0,50.65789473684225,2018-07-26
