DATE,CLOSE,OPEN,HIGH,LOW,VOLUME,14_RSI,ONLY_DATES
2018-07-04 09:15:00,,,,,,,2018-07-04
2018-07-04 09:20:00,1498.0,1519.5,1519.5,1495.25,7925.0,,2018-07-04
2018-07-04 09:25:00,1487.8,1498.9,1500.0,1483.75,7482.0,,2018-07-04
2018-07-04 09:30:00,1490.25,1487.0,1492.0,1485.0,15716.0,,2018-07-04
2018-07-04 09:35:00,1490.0,1490.35,1492.1,1485.55,9241.0,,2018-07-04
2018-07-04 09:40:00,1506.0,1490.0,1510.0,1487.6,10566.0,,2018-07-04
2018-07-04 09:45:00,1504.15,1505.0,1507.8,1503.9,6558.0,,2018-07-04
2018-07-04 09:50:00,1499.15,1504.25,1505.1,1499.1,5157.0,,2018-07-04
2018-07-04 09:55:00,1501.45,1499.55,1501.45,1498.4,769.0,,2018-07-04
2018-07-04 10:00:00,1499.95,1502.0,1502.7,1499.5,1802.0,,2018-07-04
2018-07-04 10:05:00,1505.85,1499.1,1506.8,1498.0,3259.0,,2018-07-04
2018-07-04 10:10:00,1501.9,1505.35,1506.75,1501.35,1127.0,,2018-07-04
2018-07-04 10:15:00,1495.15,1501.05,1501.05,1493.0,3964.0,,2018-07-04
2018-07-04 10:20:00,1493.15,1495.0,1497.0,1492.2,2755.0,,2018-07-04
2018-07-04 10:25:00,1506.75,1493.9,1507.15,1492.0,5471.0,,2018-07-04
2018-07-04 10:30:00,1503.7,1506.95,1507.0,1502.05,1700.0,53.81016042780754,2018-07-04
2018-07-04 10:35:00,1500.3,1502.7,1504.0,1500.1,989.0,59.19117647058829,2018-07-04
2018-07-04 10:40:00,1506.2,1501.4,1507.5,1500.55,4645.0,61.16165150454873,2018-07-04
2018-07-04 10:45:00,1506.0,1505.85,1506.95,1505.5,1080.0,61.20448179271715,2018-07-04
2018-07-04 10:50:00,1502.6,1506.05,1506.5,1502.1,342.0,47.10884353741487,2018-07-04
2018-07-04 10:55:00,1500.0,1503.0,1503.7,1500.0,857.0,46.51553316540712,2018-07-04
2018-07-04 11:00:00,1500.8,1500.0,1501.45,1499.4,1211.0,51.49051490514894,2018-07-04
2018-07-04 11:05:00,1501.85,1500.8,1503.9,1500.05,388.0,50.36968576709785,2018-07-04
2018-07-04 11:10:00,1496.6,1501.4,1501.65,1496.2,2400.0,47.104580812445846,2018-07-04
2018-07-04 11:15:00,1496.0,1496.6,1498.75,1495.5,2158.0,40.62797335870603,2018-07-04
2018-07-04 11:20:00,1497.35,1496.0,1498.75,1495.0,1947.0,45.445445445445245,2018-07-04
2018-07-04 11:25:00,1503.0,1498.6,1503.0,1496.55,2833.0,58.034800409416505,2018-07-04
2018-07-04 11:30:00,1502.5,1503.1,1503.85,1501.05,326.0,59.873284054910165,2018-07-04
2018-07-04 11:35:00,1502.8,1502.55,1504.5,1501.1,347.0,44.199706314243684,2018-07-04
2018-07-04 11:40:00,1506.5,1502.8,1507.0,1502.0,1298.0,54.034582132564765,2018-07-04
2018-07-04 11:45:00,1506.4,1505.05,1506.6,1503.65,406.0,59.7133757961786,2018-07-04
2018-07-04 11:50:00,1506.0,1506.0,1506.0,1503.3,326.0,49.61389961389952,2018-07-04
2018-07-04 11:55:00,1504.1,1506.0,1506.0,1504.1,523.0,46.55797101449258,2018-07-04
2018-07-04 12:00:00,1504.9,1504.8,1505.0,1501.15,941.0,54.60000000000037,2018-07-04
2018-07-04 12:05:00,1505.5,1504.4,1505.5,1503.65,459.0,61.95652173913044,2018-07-04
2018-07-04 12:10:00,1502.8,1505.5,1506.0,1501.55,472.0,54.016064257028106,2018-07-04
2018-07-04 12:15:00,1504.5,1502.75,1506.0,1502.75,532.0,55.18590998043067,2018-07-04
2018-07-04 12:20:00,1504.95,1504.5,1506.0,1503.05,1343.0,70.12048192771096,2018-07-04
2018-07-04 12:25:00,1503.0,1505.0,1505.0,1502.0,312.0,65.83710407239792,2018-07-04
2018-07-04 12:30:00,1503.85,1502.95,1504.0,1502.0,303.0,65.04629629629605,2018-07-04
2018-07-04 12:35:00,1505.8,1503.5,1506.0,1503.0,13839.0,57.821229050279065,2018-07-04
2018-07-04 12:40:00,1503.15,1505.8,1505.8,1502.45,383.0,51.620947630922906,2018-07-04
2018-07-04 12:45:00,1504.0,1503.0,1504.4,1502.2,356.0,52.91262135922339,2018-07-04
2018-07-04 12:50:00,1499.95,1504.0,1504.25,1498.55,5166.0,34.36754176610994,2018-07-04
2018-07-04 12:55:00,1500.65,1499.7,1501.0,1499.0,1678.0,36.658932714617286,2018-07-04
2018-07-04 13:00:00,1502.6,1500.9,1502.6,1500.2,897.0,42.640692640692414,2018-07-04
2018-07-04 13:05:00,1503.8,1502.45,1504.45,1502.1,373.0,49.33035714285724,2018-07-04
2018-07-04 13:10:00,1505.65,1503.8,1505.8,1502.05,903.0,51.5991471215352,2018-07-04
2018-07-04 13:15:00,1504.7,1505.65,1505.65,1502.25,312.0,48.31932773109253,2018-07-04
2018-07-04 13:20:00,1500.0,1504.7,1504.7,1500.0,768.0,44.573643410852796,2018-07-04
2018-07-04 13:25:00,1502.7,1500.0,1504.4,1500.0,887.0,46.6417910447762,2018-07-04
2018-07-04 13:30:00,1502.05,1504.15,1504.7,1501.3,458.0,44.629629629629456,2018-07-04
2018-07-04 13:35:00,1503.5,1503.55,1504.0,1502.1,1403.0,50.94339622641509,2018-07-04
2018-07-04 13:40:00,1500.0,1503.7,1504.4,1500.0,1992.0,43.39622641509452,2018-07-04
2018-07-04 13:45:00,1499.05,1500.5,1501.85,1498.55,1203.0,38.010657193605724,2018-07-04
2018-07-04 13:50:00,1495.55,1499.45,1500.0,1495.55,1178.0,36.89655172413781,2018-07-04
2018-07-04 13:55:00,1496.3,1495.95,1497.0,1495.55,4868.0,36.67820069204159,2018-07-04
2018-07-04 14:00:00,1500.0,1496.3,1500.0,1496.3,1186.0,50.087565674255615,2018-07-04
2018-07-04 14:05:00,1499.65,1500.0,1501.1,1498.45,1669.0,48.22695035460995,2018-07-04
2018-07-04 14:10:00,1499.5,1499.85,1500.5,1498.5,445.0,44.12878787878817,2018-07-04
2018-07-04 14:15:00,1499.4,1499.5,1500.6,1498.5,405.0,41.30434782608737,2018-07-04
