DATE,CLOSE,OPEN,HIGH,LOW,VOLUME,14_RSI,ONLY_DATES
2018-07-26 09:15:00,,,,,,,2018-07-26
2018-07-26 09:20:00,626.8,621.35,627.95,617.45,83695.0,,2018-07-26
2018-07-26 09:25:00,627.3,627.0,629.0,626.8,45755.0,,2018-07-26
2018-07-26 09:30:00,627.4,627.3,628.95,626.95,38947.0,,2018-07-26
2018-07-26 09:35:00,627.9,627.35,628.0,627.25,11348.0,,2018-07-26
2018-07-26 09:40:00,627.25,627.9,627.9,627.2,17321.0,,2018-07-26
2018-07-26 09:45:00,627.0,627.05,627.2,626.1,22392.0,,2018-07-26
2018-07-26 09:50:00,627.0,627.0,627.8,626.85,8158.0,,2018-07-26
2018-07-26 09:55:00,629.6,627.25,630.0,626.65,46017.0,,2018-07-26
2018-07-26 10:00:00,630.7,629.6,631.25,629.1,40769.0,,2018-07-26
2018-07-26 10:05:00,628.6,631.05,631.05,628.05,23014.0,,2018-07-26
2018-07-26 10:10:00,629.05,628.6,629.9,627.65,31756.0,,2018-07-26
2018-07-26 10:15:00,628.15,629.0,629.25,627.6,9866.0,,2018-07-26
2018-07-26 10:20:00,628.2,627.75,629.25,627.4,13462.0,,2018-07-26
2018-07-26 10:25:00,627.7,628.2,628.2,626.55,19710.0,,2018-07-26
2018-07-26 10:30:00,626.45,627.9,628.5,626.45,16138.0,48.401826484018684,2018-07-26
2018-07-26 10:35:00,629.0,626.55,629.55,626.45,17028.0,56.5384615384617,2018-07-26
2018-07-26 10:40:00,629.0,628.95,629.5,628.5,13564.0,56.201550387596996,2018-07-26
2018-07-26 10:45:00,628.55,628.8,629.2,628.0,5704.0,52.529182879377345,2018-07-26
2018-07-26 10:50:00,627.75,628.8,628.9,627.4,8753.0,51.92307692307693,2018-07-26
2018-07-26 10:55:00,627.4,627.75,627.85,626.5,16688.0,51.52671755725182,2018-07-26
2018-07-26 11:00:00,627.5,627.4,627.9,627.0,4243.0,51.89393939393939,2018-07-26
2018-07-26 11:05:00,625.85,627.75,628.0,624.65,29125.0,34.69387755102041,2018-07-26
2018-07-26 11:10:00,626.0,625.85,627.6,625.3,29126.0,29.20353982300857,2018-07-26
2018-07-26 11:15:00,625.85,626.0,627.0,625.4,6802.0,35.294117647058684,2018-07-26
2018-07-26 11:20:00,625.85,625.5,626.0,625.0,11964.0,32.0224719101127,2018-07-26
2018-07-26 11:25:00,626.15,625.7,626.95,625.55,12469.0,37.9518072289156,2018-07-26
2018-07-26 11:30:00,626.2,626.05,627.0,626.0,10188.0,37.9518072289156,2018-07-26
2018-07-26 11:35:00,625.95,626.2,626.5,625.8,6515.0,39.13043478260864,2018-07-26
2018-07-26 11:40:00,626.05,626.0,626.25,625.7,4453.0,47.1014492753616,2018-07-26
2018-07-26 11:45:00,626.3,626.05,626.95,626.05,5054.0,20.652173913042404,2018-07-26
2018-07-26 11:50:00,625.75,626.3,626.95,625.5,14746.0,18.446601941746735,2018-07-26
2018-07-26 11:55:00,626.0,625.55,626.35,625.1,9113.0,24.242424242423752,2018-07-26
2018-07-26 12:00:00,625.6,626.0,626.5,625.6,7183.0,26.373626373625797,2018-07-26
2018-07-26 12:05:00,625.85,625.65,626.1,625.5,5440.0,32.584269662921145,2018-07-26
2018-07-26 12:10:00,626.15,625.85,626.45,625.5,5579.0,35.48387096774091,2018-07-26
2018-07-26 12:15:00,627.1,626.15,627.35,626.15,10097.0,65.8227848101273,2018-07-26
2018-07-26 12:20:00,627.75,627.35,627.8,627.1,6851.0,69.66292134831541,2018-07-26
2018-07-26 12:25:00,627.6,627.75,627.8,627.0,9010.0,69.66292134831541,2018-07-26
2018-07-26 12:30:00,627.5,627.3,627.8,627.0,9803.0,68.13186813186852,2018-07-26
2018-07-26 12:35:00,627.9,627.5,628.5,627.5,8327.0,68.81720430107582,2018-07-26
2018-07-26 12:40:00,627.3,627.9,628.0,627.3,5072.0,60.576923076922576,2018-07-26
2018-07-26 12:45:00,627.6,627.35,627.6,627.25,5451.0,65.71428571428584,2018-07-26
2018-07-26 12:50:00,627.65,627.55,628.0,627.5,4434.0,65.38461538461581,2018-07-26
2018-07-26 12:55:00,627.5,627.65,627.95,627.5,5286.0,61.764705882353596,2018-07-26
2018-07-26 13:00:00,626.5,627.5,627.6,626.45,8821.0,56.756756756756815,2018-07-26
2018-07-26 13:05:00,625.95,626.5,626.5,625.6,7237.0,49.57264957264996,2018-07-26
2018-07-26 13:10:00,624.55,625.95,626.0,624.5,35090.0,42.33576642335719,2018-07-26
2018-07-26 13:15:00,624.95,624.6,625.5,624.6,21847.0,43.57142857142883,2018-07-26
2018-07-26 13:20:00,624.85,625.15,625.2,624.6,19820.0,40.44117647058883,2018-07-26
2018-07-26 13:25:00,624.7,624.85,625.45,624.65,31739.0,30.00000000000057,2018-07-26
2018-07-26 13:30:00,624.95,624.7,625.3,624.7,14646.0,25.00000000000101,2018-07-26
2018-07-26 13:35:00,625.6,624.95,625.85,624.95,6033.0,33.606557377049555,2018-07-26
2018-07-26 13:40:00,625.55,625.6,626.0,625.05,6421.0,33.88429752066126,2018-07-26
2018-07-26 13:45:00,625.3,625.55,625.85,625.15,6348.0,27.96610169491582,2018-07-26
2018-07-26 13:50:00,626.45,625.3,626.55,625.3,8548.0,43.410852713179274,2018-07-26
2018-07-26 13:55:00,626.2,626.2,626.9,625.95,16961.0,39.062500000000526,2018-07-26
2018-07-26 14:00:00,627.0,626.25,627.5,626.1,13977.0,45.454545454545745,2018-07-26
2018-07-26 14:05:00,627.6,627.05,628.0,627.0,11792.0,50.65789473684223,2018-07-26
2018-07-26 14:10:00,627.05,627.55,627.8,627.0,10536.0,53.84615384615336,2018-07-26
2018-07-26 14:15:00,627.3,627.05,627.8,626.8,8952.0,59.85401459853896,2018-07-26
2018-07-26 14:20:00,626.35,627.3,627.9,626.35,11856.0,64.06250000000009,2018-07-26
2018-07-26 14:25:00,625.9,626.55,626.85,625.7,15006.0,57.3643410852706,2018-07-26
2018-07-26 14:30:00,626.3,625.9,626.6,624.75,14837.0,60.74074074074006,2018-07-26
2018-07-26 14:35:00,625.75,626.25,627.0,625.65,8467.0,57.342657342656935,2018-07-26
2018-07-26 14:40:00,626.0,625.75,627.0,625.75,12416.0,57.342657342656935,2018-07-26
2018-07-26 14:45:00,627.1,626.25,627.5,626.0,19065.0,59.86842105263141,2018-07-26
2018-07-26 14:50:00,625.9,627.1,627.5,625.05,199907.0,52.00000000000011,2018-07-26
2018-07-26 14:55:00,627.0,625.95,627.0,625.95,14974.0,58.85416666666678,2018-07-26
2018-07-26 15:00:00,627.0,626.6,628.0,626.55,123225.0,53.2544378698222,2018-07-26
2018-07-26 15:05:00,628.2,627.15,629.55,626.55,351659.0,60.638297872340324,2018-07-26
2018-07-26 15:10:00,628.15,628.25,628.95,627.4,269279.0,56.647398843930354,2018-07-26
2018-07-26 15:15:00,628.05,628.15,628.9,627.85,267804.0,52.760736196318526,2018-07-26
2018-07-26 15:20:00,628.0,628.05,628.25,627.95,314931.0,56.2091503267976,2018-07-26
2018-07-26 15:25:00,627.7,628.2,628.25,627.45,314056.0,52.597402597403175,2018-07-26
2018-07-26 15:30:00,627.45,627.7,627.95,626.75,278768.0,57.85714285714289,2018-07-26
2018-07-27 09:20:00,629.2,627.65,629.95,626.3,59885.0,69.8795180722894,2018-07-27
2018-07-27 09:25:00,629.5,629.0,630.0,627.8,33896.0,69.5121951219514,2018-07-27
2018-07-27 09:30:00,627.25,629.4,629.5,626.4,31622.0,57.57575757575751,2018-07-27
2018-07-27 09:35:00,628.4,627.5,629.95,627.5,36700.0,61.11111111111093,2018-07-27
2018-07-27 09:40:00,628.7,628.4,629.55,627.95,17232.0,58.00000000000002,2018-07-27
2018-07-27 09:45:00,628.25,628.95,629.35,627.75,13412.0,62.70270270270267,2018-07-27
2018-07-27 09:50:00,629.5,628.3,630.0,628.3,23654.0,63.2978723404254,2018-07-27
2018-07-27 09:55:00,628.0,629.5,629.55,627.65,19341.0,54.58715596330271,2018-07-27
2018-07-27 10:00:00,628.4,628.0,628.9,627.85,10896.0,50.99009900990065,2018-07-27
2018-07-27 10:05:00,628.5,628.35,628.95,627.95,4979.0,51.7241379310346,2018-07-27
2018-07-27 10:10:00,629.3,628.95,629.5,628.5,8607.0,55.76036866359452,2018-07-27
2018-07-27 10:15:00,629.0,629.55,629.95,629.0,6430.0,54.504504504504546,2018-07-27
2018-07-27 10:20:00,628.2,628.7,629.0,628.15,5308.0,52.155172413793125,2018-07-27
2018-07-27 10:25:00,628.05,628.2,628.85,627.3,13881.0,52.608695652173516,2018-07-27
2018-07-27 10:30:00,629.1,628.1,629.15,628.05,4192.0,49.53703703703694,2018-07-27
2018-07-27 10:35:00,629.4,629.1,629.8,628.65,14605.0,49.53703703703694,2018-07-27
2018-07-27 10:40:00,629.1,629.4,629.6,628.85,8310.0,60.451977401130044,2018-07-27
2018-07-27 10:45:00,628.35,629.0,629.1,628.15,5177.0,49.70414201183459,2018-07-27
2018-07-27 10:50:00,628.05,628.25,628.9,628.0,7486.0,46.15384615384564,2018-07-27
2018-07-27 10:55:00,629.6,628.05,629.7,627.95,5453.0,57.06806282722519,2018-07-27
2018-07-27 11:00:00,630.75,629.6,631.9,629.6,56812.0,56.61375661375658,2018-07-27
2018-07-27 11:05:00,629.15,630.6,630.85,628.8,21626.0,56.020942408376804,2018-07-27
2018-07-27 11:10:00,629.35,629.15,629.7,628.95,4820.0,55.08021390374348,2018-07-27
2018-07-27 11:15:00,629.3,629.35,630.05,629.1,6969.0,54.301075268816874,2018-07-27
2018-07-27 11:20:00,629.0,629.3,629.65,629.0,22964.0,48.29545454545484,2018-07-27
2018-07-27 11:25:00,629.05,629.0,629.9,628.75,5161.0,50.29239766081844,2018-07-27
2018-07-27 11:30:00,629.8,629.0,629.8,628.7,5702.0,59.411764705881566,2018-07-27
2018-07-27 11:35:00,629.05,629.55,629.75,628.9,2880.0,55.49450549450541,2018-07-27
2018-07-27 11:40:00,629.5,629.05,629.8,628.85,4608.0,52.352941176470424,2018-07-27
2018-07-27 11:45:00,629.0,629.45,629.75,628.95,5723.0,47.701149425287525,2018-07-27
2018-07-27 11:50:00,629.8,629.0,629.9,628.8,3431.0,53.80434782608652,2018-07-27
2018-07-27 11:55:00,629.6,629.55,630.75,629.55,10684.0,57.225433526011486,2018-07-27
2018-07-27 12:00:00,629.5,629.6,630.25,629.0,9663.0,58.57988165680495,2018-07-27
2018-07-27 12:05:00,629.25,629.5,630.15,629.25,4579.0,47.55244755244738,2018-07-27
2018-07-27 12:10:00,629.2,629.25,629.95,629.0,2640.0,37.190082644628376,2018-07-27
2018-07-27 12:15:00,629.65,629.2,629.8,629.2,2634.0,55.10204081632667,2018-07-27
2018-07-27 12:20:00,629.85,629.4,629.85,629.3,2303.0,55.10204081632667,2018-07-27
2018-07-27 12:25:00,631.35,629.8,631.75,629.6,15784.0,66.14173228346561,2018-07-27
2018-07-27 12:30:00,634.85,631.0,635.0,631.0,83736.0,80.62827225130954,2018-07-27
2018-07-27 12:35:00,640.9,634.85,641.0,634.2,163538.0,88.1028938906757,2018-07-27
2018-07-27 12:40:00,639.7,640.85,641.8,638.0,96473.0,80.93750000000072,2018-07-27
2018-07-27 12:45:00,638.75,639.45,641.0,638.6,45486.0,79.93827160493875,2018-07-27
2018-07-27 12:50:00,638.6,638.6,639.0,637.7,25757.0,78.61635220125838,2018-07-27
2018-07-27 12:55:00,637.45,638.0,639.75,637.35,25516.0,75.52870090634497,2018-07-27
2018-07-27 13:00:00,636.9,637.5,637.5,636.5,18525.0,71.77914110429477,2018-07-27
2018-07-27 13:05:00,637.15,636.7,637.5,635.5,30668.0,73.08868501529051,2018-07-27
2018-07-27 13:10:00,637.65,637.05,637.95,636.8,9882.0,74.32835820895532,2018-07-27
2018-07-27 13:15:00,636.8,637.65,637.65,636.8,7065.0,71.75792507204609,2018-07-27
2018-07-27 13:20:00,636.85,636.8,637.25,636.8,5001.0,72.04610951008637,2018-07-27
2018-07-27 13:25:00,637.85,637.0,638.35,636.85,10973.0,72.9050279329609,2018-07-27
2018-07-27 13:30:00,637.3,637.75,638.3,637.3,2397.0,70.41095890410928,2018-07-27
2018-07-27 13:35:00,637.15,637.3,637.55,637.0,4107.0,67.15976331360923,2018-07-27
2018-07-27 13:40:00,637.45,637.2,638.0,637.15,4352.0,59.489051094890485,2018-07-27
2018-07-27 13:45:00,637.5,637.15,637.75,637.0,6825.0,27.92207792207853,2018-07-27
2018-07-27 13:50:00,637.85,637.5,638.4,637.5,8061.0,36.496350364963824,2018-07-27
2018-07-27 13:55:00,637.8,637.85,638.0,637.65,2195.0,42.016806722689054,2018-07-27
2018-07-27 14:00:00,638.05,637.8,638.25,637.75,9581.0,45.45454545454511,2018-07-27
2018-07-27 14:05:00,638.0,638.05,638.25,638.0,6822.0,55.55555555555478,2018-07-27
2018-07-27 14:10:00,639.7,638.0,639.7,637.95,49551.0,72.95081967213076,2018-07-27
2018-07-27 14:15:00,639.85,639.55,639.9,638.2,21615.0,72.49999999999952,2018-07-27
2018-07-27 14:20:00,639.6,639.85,639.9,639.5,23404.0,66.95652173913015,2018-07-27
2018-07-27 14:25:00,638.0,639.5,639.6,638.0,15247.0,59.23076923076926,2018-07-27
2018-07-27 14:30:00,638.0,638.0,638.5,638.0,5266.0,58.91472868217015,2018-07-27
2018-07-27 14:35:00,638.05,638.0,638.3,638.0,11524.0,51.81818181818116,2018-07-27
2018-07-27 14:40:00,638.0,638.0,638.1,638.0,8258.0,57.000000000000455,2018-07-27
