DATE,CLOSE,OPEN,HIGH,LOW,VOLUME,14_RSI,ONLY_DATES
2018-07-04 09:15:00,,,,,,,2018-07-04
2018-07-04 09:20:00,527.1,526.95,530.0,525.0,6912.0,,2018-07-04
2018-07-04 09:25:00,527.8,527.05,528.8,527.0,1796.0,,2018-07-04
2018-07-04 09:30:00,525.15,527.8,528.0,525.15,2074.0,,2018-07-04
2018-07-04 09:35:00,524.75,525.15,526.0,523.0,2526.0,,2018-07-04
2018-07-04 09:40:00,525.0,524.6,525.0,523.95,1799.0,,2018-07-04
2018-07-04 09:45:00,524.95,524.05,525.0,524.0,1431.0,,2018-07-04
2018-07-04 09:50:00,525.0,524.95,525.75,524.0,5898.0,,2018-07-04
2018-07-04 09:55:00,524.5,525.0,525.0,524.0,4524.0,,2018-07-04
2018-07-04 10:00:00,525.15,524.5,526.75,524.0,11959.0,,2018-07-04
2018-07-04 10:05:00,525.6,525.8,526.0,525.0,13550.0,,2018-07-04
2018-07-04 10:10:00,525.65,525.7,525.75,525.05,2756.0,,2018-07-04
2018-07-04 10:15:00,526.5,525.6,526.7,525.35,3194.0,,2018-07-04
2018-07-04 10:20:00,525.9,525.75,526.6,525.75,975.0,,2018-07-04
2018-07-04 10:25:00,525.35,525.75,526.0,525.35,853.0,,2018-07-04
2018-07-04 10:30:00,526.0,525.9,526.0,525.5,1512.0,43.45238095238062,2018-07-04
2018-07-04 10:35:00,527.7,525.95,528.0,525.95,2563.0,49.468085106383455,2018-07-04
2018-07-04 10:40:00,528.8,527.7,528.8,527.55,2410.0,73.24840764331256,2018-07-04
2018-07-04 10:45:00,527.0,528.8,528.8,526.5,1397.0,62.16216216216246,2018-07-04
2018-07-04 10:50:00,527.0,527.0,527.25,526.6,448.0,61.11111111111139,2018-07-04
2018-07-04 10:55:00,527.4,527.0,527.95,527.0,502.0,63.10160427807479,2018-07-04
2018-07-04 11:00:00,527.05,527.2,527.75,527.0,444.0,60.621761658031005,2018-07-04
2018-07-04 11:05:00,526.0,527.4,527.4,525.75,2358.0,57.35294117647072,2018-07-04
2018-07-04 11:10:00,525.5,525.9,526.0,525.4,682.0,51.741293532338446,2018-07-04
2018-07-04 11:15:00,526.0,525.35,526.0,525.05,992.0,51.98019801980191,2018-07-04
2018-07-04 11:20:00,525.25,526.0,526.0,525.25,925.0,48.14814814814822,2018-07-04
2018-07-04 11:25:00,524.0,525.15,525.2,522.05,5240.0,38.83928571428554,2018-07-04
2018-07-04 11:30:00,524.7,524.0,524.7,523.5,2139.0,44.69026548672589,2018-07-04
2018-07-04 11:35:00,524.5,524.7,525.0,523.0,1205.0,46.118721461187086,2018-07-04
2018-07-04 11:40:00,524.85,524.5,524.95,523.1,340.0,44.60093896713625,2018-07-04
