DATE,CLOSE,OPEN,HIGH,LOW,VOLUME,14_RSI,ONLY_DATES
2018-07-26 09:15:00,,,,,,,2018-07-26
2018-07-26 09:20:00,274.85,274.85,275.55,273.3,654127.0,,2018-07-26
2018-07-26 09:25:00,275.0,274.8,275.3,274.75,409000.0,,2018-07-26
2018-07-26 09:30:00,274.5,275.0,275.3,274.25,230260.0,,2018-07-26
2018-07-26 09:35:00,274.65,274.55,274.95,274.5,186195.0,,2018-07-26
2018-07-26 09:40:00,274.8,274.7,274.8,274.55,88636.0,,2018-07-26
2018-07-26 09:45:00,273.95,274.8,274.8,273.8,241012.0,,2018-07-26
2018-07-26 09:50:00,274.1,273.85,274.5,273.75,107227.0,,2018-07-26
2018-07-26 09:55:00,273.95,274.1,274.15,273.75,99345.0,,2018-07-26
2018-07-26 10:00:00,274.0,273.95,274.2,273.75,133439.0,,2018-07-26
2018-07-26 10:05:00,274.45,274.0,274.45,273.9,149248.0,,2018-07-26
2018-07-26 10:10:00,274.45,274.45,274.5,274.25,96577.0,,2018-07-26
2018-07-26 10:15:00,274.75,274.45,274.8,274.35,136482.0,,2018-07-26
2018-07-26 10:20:00,274.6,274.7,274.8,274.5,110726.0,,2018-07-26
2018-07-26 10:25:00,274.9,274.65,275.0,274.5,81189.0,,2018-07-26
2018-07-26 10:30:00,275.2,274.9,275.25,274.65,121417.0,54.79452054794469,2018-07-26
2018-07-26 10:35:00,275.85,275.2,276.35,275.0,280687.0,60.24096385542173,2018-07-26
2018-07-26 10:40:00,276.6,275.8,277.15,275.8,282877.0,73.86363636363613,2018-07-26
2018-07-26 10:45:00,278.3,276.6,278.6,276.6,334145.0,80.67226890756278,2018-07-26
2018-07-26 10:50:00,278.95,278.4,278.95,277.65,320086.0,82.1705426356585,2018-07-26
2018-07-26 10:55:00,280.5,278.8,281.35,278.8,767717.0,95.80419580419567,2018-07-26
2018-07-26 11:00:00,281.1,280.5,281.3,280.15,282239.0,96.05263157894723,2018-07-26
2018-07-26 11:05:00,282.25,281.1,282.25,281.05,603751.0,98.25581395348863,2018-07-26
2018-07-26 11:10:00,282.75,282.25,282.8,282.1,607399.0,98.34254143646433,2018-07-26
2018-07-26 11:15:00,282.5,282.8,283.0,282.3,814597.0,95.48022598870081,2018-07-26
2018-07-26 11:20:00,283.4,282.5,284.25,282.5,560837.0,95.89743589743611,2018-07-26
2018-07-26 11:25:00,283.05,283.35,283.4,282.85,656727.0,92.34693877551071,2018-07-26
2018-07-26 11:30:00,283.7,283.1,283.9,283.0,661089.0,94.17475728155367,2018-07-26
2018-07-26 11:35:00,284.1,283.7,284.15,283.5,559700.0,94.23076923076954,2018-07-26
2018-07-26 11:40:00,284.2,284.05,284.9,284.0,1079565.0,94.11764705882382,2018-07-26
2018-07-26 11:45:00,282.95,284.1,284.3,282.95,307812.0,82.87037037037052,2018-07-26
2018-07-26 11:50:00,283.0,282.95,283.2,282.55,235507.0,81.68316831683185,2018-07-26
2018-07-26 11:55:00,283.05,282.95,283.55,282.9,175295.0,78.10650887573988,2018-07-26
2018-07-26 12:00:00,283.05,283.05,283.2,282.65,356064.0,76.28205128205158,2018-07-26
2018-07-26 12:05:00,283.85,283.05,283.9,283.0,214973.0,73.75886524822727,2018-07-26
