DATE,CLOSE,OPEN,HIGH,LOW,VOLUME,14_RSI,ONLY_DATES
2018-07-04 09:15:00,,,,,,,2018-07-04
2018-07-04 09:20:00,654.15,650.95,654.9,650.95,847.0,,2018-07-04
2018-07-04 09:25:00,654.0,654.5,655.0,654.0,1492.0,,2018-07-04
2018-07-04 09:30:00,650.95,654.0,654.0,650.0,2054.0,,2018-07-04
2018-07-04 09:35:00,651.0,650.15,653.0,650.0,877.0,,2018-07-04
2018-07-04 09:40:00,651.4,651.0,652.2,650.5,998.0,,2018-07-04
2018-07-04 09:45:00,653.2,651.35,655.15,650.7,2781.0,,2018-07-04
2018-07-04 09:50:00,653.3,652.65,654.15,652.65,318.0,,2018-07-04
2018-07-04 09:55:00,653.6,653.25,653.6,653.0,704.0,,2018-07-04
2018-07-04 10:00:00,652.35,653.6,653.85,651.55,1602.0,,2018-07-04
2018-07-04 10:05:00,652.4,652.4,653.35,652.4,335.0,,2018-07-04
2018-07-04 10:10:00,652.0,652.4,652.85,651.35,618.0,,2018-07-04
2018-07-04 10:15:00,652.5,652.05,652.5,652.05,23.0,,2018-07-04
2018-07-04 10:20:00,652.0,652.05,652.05,652.0,293.0,,2018-07-04
2018-07-04 10:25:00,652.75,650.7,654.05,650.7,513.0,,2018-07-04
2018-07-04 10:30:00,654.8,653.15,654.8,653.15,192.0,52.863436123347974,2018-07-04
2018-07-04 10:35:00,653.15,653.85,654.7,653.15,295.0,46.692607003890906,2018-07-04
2018-07-04 10:40:00,654.0,653.8,654.9,653.3,192.0,64.31924882629104,2018-07-04
2018-07-04 10:45:00,653.4,653.55,654.0,653.4,64.0,60.71428571428568,2018-07-04
2018-07-04 10:50:00,653.3,653.2,653.3,652.75,61.0,58.71559633027514,2018-07-04
2018-07-04 10:55:00,654.0,652.8,654.0,652.75,449.0,54.08163265306101,2018-07-04
2018-07-04 11:00:00,654.0,654.0,654.0,654.0,196.0,53.60824742268063,2018-07-04
2018-07-04 11:05:00,654.0,654.0,654.0,654.0,38.0,52.12765957446796,2018-07-04
2018-07-04 11:10:00,653.15,654.0,654.5,652.65,499.0,54.44444444444419,2018-07-04
2018-07-04 11:15:00,652.05,652.05,653.15,652.05,107.0,48.25870646766159,2018-07-04
2018-07-04 11:20:00,652.95,652.95,652.95,652.95,15.0,54.50236966824658,2018-07-04
2018-07-04 11:25:00,652.85,652.35,652.85,652.1,67.0,51.72413793103456,2018-07-04
2018-07-04 11:30:00,654.5,652.9,654.5,652.5,260.0,61.0619469026547,2018-07-04
2018-07-04 11:35:00,653.05,653.25,653.6,652.65,164.0,51.24999999999979,2018-07-04
2018-07-04 11:40:00,653.15,653.15,653.15,653.15,7.0,41.791044776119755,2018-07-04
2018-07-04 11:45:00,653.35,653.6,654.0,652.85,401.0,51.16279069767462,2018-07-04
2018-07-04 11:50:00,653.7,652.8,653.7,652.8,40.0,48.148148148148515,2018-07-04
2018-07-04 11:55:00,653.75,653.75,653.75,653.75,16.0,52.31788079470205,2018-07-04
2018-07-04 12:00:00,652.95,653.8,653.9,652.95,60.0,47.87878787878849,2018-07-04
2018-07-04 12:05:00,653.35,653.0,653.35,652.55,36.0,45.911949685534815,2018-07-04
2018-07-04 12:10:00,652.65,652.65,653.35,652.55,33.0,42.196531791907574,2018-07-04
2018-07-04 12:15:00,652.55,652.55,653.35,652.55,76.0,41.71428571428567,2018-07-04
2018-07-04 12:20:00,652.65,652.55,653.7,652.55,353.0,46.875000000000085,2018-07-04
2018-07-04 12:25:00,652.1,653.45,653.45,652.1,276.0,50.33557046979911,2018-07-04
2018-07-04 12:30:00,652.7,653.0,653.2,652.7,46.0,48.251748251748275,2018-07-04
2018-07-04 12:35:00,652.1,653.4,653.4,652.1,37.0,45.098039215686335,2018-07-04
2018-07-04 12:40:00,653.3,652.1,653.3,652.05,236.0,41.6666666666664,2018-07-04
2018-07-04 12:45:00,653.8,653.4,653.8,652.0,149.0,55.99999999999999,2018-07-04
2018-07-04 12:50:00,654.95,653.85,654.95,653.45,454.0,62.328767123288024,2018-07-04
2018-07-04 12:55:00,658.0,655.0,659.0,655.0,5146.0,72.90640394088663,2018-07-04
2018-07-04 13:00:00,657.6,658.0,659.0,657.55,947.0,69.11764705882355,2018-07-04
2018-07-04 13:05:00,655.5,657.25,657.25,655.5,17.0,57.14285714285714,2018-07-04
2018-07-04 13:10:00,,,,,,,2018-07-04
2018-07-04 13:15:00,653.3,654.0,654.0,652.0,918.0,,2018-07-04
2018-07-04 13:20:00,657.4,653.9,659.0,653.0,849.0,,2018-07-04
2018-07-04 13:25:00,657.1,657.4,660.8,657.05,1977.0,,2018-07-04
2018-07-04 13:30:00,660.05,658.65,661.5,657.3,844.0,,2018-07-04
2018-07-04 13:35:00,658.45,660.45,661.05,658.45,436.0,,2018-07-04
2018-07-04 13:40:00,656.8,658.65,658.65,656.75,71.0,,2018-07-04
2018-07-04 13:45:00,656.7,656.7,656.7,656.7,5.0,,2018-07-04
2018-07-04 13:50:00,656.25,656.5,657.65,655.65,94.0,,2018-07-04
2018-07-04 13:55:00,656.3,655.7,656.7,655.7,89.0,,2018-07-04
2018-07-04 14:00:00,655.15,656.3,656.3,655.15,99.0,,2018-07-04
2018-07-04 14:05:00,656.85,655.25,658.0,655.15,852.0,,2018-07-04
2018-07-04 14:10:00,655.95,656.6,656.6,655.15,182.0,,2018-07-04
2018-07-04 14:15:00,655.3,656.35,656.5,655.3,44.0,,2018-07-04
2018-07-04 14:20:00,657.35,656.5,657.35,655.95,145.0,,2018-07-04
2018-07-04 14:25:00,656.25,658.1,658.1,656.05,491.0,57.86666666666679,2018-07-04
2018-07-04 14:30:00,656.25,656.25,656.25,656.25,100.0,46.075085324232155,2018-07-04
2018-07-04 14:35:00,657.15,656.25,658.0,656.25,718.0,50.16393442622936,2018-07-04
2018-07-04 14:40:00,657.3,657.25,658.7,657.15,515.0,38.95582329317273,2018-07-04
2018-07-04 14:45:00,657.0,659.0,660.0,657.0,1992.0,43.49775784753347,2018-07-04
2018-07-04 14:50:00,657.0,657.0,657.0,657.0,112.0,51.052631578947604,2018-07-04
2018-07-04 14:55:00,658.5,657.85,658.5,657.85,50.0,58.256880733944676,2018-07-04
2018-07-04 15:00:00,658.9,657.9,660.0,657.85,547.0,62.21198156682014,2018-07-04
2018-07-04 15:05:00,658.75,658.85,659.5,658.6,230.0,61.18721461187231,2018-07-04
2018-07-04 15:10:00,657.0,658.8,659.0,656.4,1085.0,58.00865800865806,2018-07-04
2018-07-04 15:15:00,656.05,657.0,657.8,656.05,1121.0,46.296296296296006,2018-07-04
2018-07-04 15:20:00,657.65,656.95,658.0,656.05,677.0,57.39130434782572,2018-07-04
2018-07-04 15:25:00,653.3,657.85,657.85,652.05,1568.0,43.42105263157896,2018-07-04
2018-07-04 15:30:00,653.4,653.3,654.8,653.0,709.0,35.09433962264134,2018-07-04
2018-07-05 09:15:00,,,,,,,2018-07-05
2018-07-05 09:20:00,658.1,660.0,660.0,656.55,354.0,,2018-07-05
2018-07-05 09:25:00,659.0,658.0,659.05,657.25,312.0,,2018-07-05
2018-07-05 09:30:00,667.0,659.0,667.0,659.0,4855.0,,2018-07-05
2018-07-05 09:35:00,666.0,667.0,668.6,665.05,1249.0,,2018-07-05
2018-07-05 09:40:00,668.0,666.5,668.5,666.3,648.0,,2018-07-05
2018-07-05 09:45:00,668.6,667.0,668.6,666.95,580.0,,2018-07-05
2018-07-05 09:50:00,669.05,668.6,670.0,668.0,1289.0,,2018-07-05
