DATE,CLOSE,OPEN,HIGH,LOW,VOLUME,14_RSI,ONLY_DATES
2018-07-04 09:15:00,,,,,,,2018-07-04
2018-07-04 09:20:00,644.55,642.45,644.9,642.4,228.0,,2018-07-04
2018-07-04 09:25:00,643.05,644.1,644.1,643.05,72.0,,2018-07-04
2018-07-04 09:30:00,641.55,643.05,643.5,641.55,545.0,,2018-07-04
2018-07-04 09:35:00,642.2,641.3,642.25,641.3,72.0,,2018-07-04
2018-07-04 09:40:00,641.25,641.8,641.8,641.05,161.0,,2018-07-04
2018-07-04 09:45:00,640.05,641.0,641.0,640.05,178.0,,2018-07-04
2018-07-04 09:50:00,642.7,640.7,642.7,640.05,134.0,,2018-07-04
2018-07-04 09:55:00,642.55,641.8,644.0,641.0,560.0,,2018-07-04
2018-07-04 10:00:00,642.4,642.95,643.05,642.05,126.0,,2018-07-04
2018-07-04 10:05:00,642.4,642.8,642.8,642.4,30.0,,2018-07-04
2018-07-04 10:10:00,642.8,642.8,642.8,642.8,35.0,,2018-07-04
2018-07-04 10:15:00,642.25,643.9,643.9,642.15,86.0,,2018-07-04
2018-07-04 10:20:00,643.95,642.9,643.95,642.65,58.0,,2018-07-04
2018-07-04 10:25:00,643.95,643.95,643.95,643.95,14.0,,2018-07-04
2018-07-04 10:30:00,643.75,643.75,643.75,643.75,24.0,46.551724137931345,2018-07-04
2018-07-04 10:35:00,643.75,643.75,643.75,643.75,17.0,53.46534653465358,2018-07-04
2018-07-04 10:40:00,643.95,644.0,644.0,642.15,55.0,63.63636363636352,2018-07-04
2018-07-04 10:45:00,643.05,644.0,644.0,643.05,47.0,54.696132596684365,2018-07-04
2018-07-04 10:50:00,642.85,644.5,644.5,642.85,60.0,59.63855421686726,2018-07-04
2018-07-04 10:55:00,643.05,643.05,643.05,643.05,7.0,70.54794520547894,2018-07-04
2018-07-04 11:00:00,,,,,,,2018-07-04
2018-07-04 11:05:00,642.95,642.95,642.95,642.3,105.0,,2018-07-04
2018-07-04 11:10:00,642.05,642.3,642.95,642.05,39.0,,2018-07-04
2018-07-04 11:15:00,643.05,642.95,643.05,642.95,19.0,,2018-07-04
2018-07-04 11:20:00,643.05,643.05,643.05,643.05,9.0,,2018-07-04
2018-07-04 11:25:00,641.2,642.6,642.6,640.0,46309.0,,2018-07-04
2018-07-04 11:30:00,,,,,,,2018-07-04
2018-07-04 11:35:00,640.4,641.2,641.2,640.4,32.0,,2018-07-04
2018-07-04 11:40:00,641.35,641.1,641.35,641.1,38.0,,2018-07-04
2018-07-04 11:45:00,641.9,641.35,641.9,640.2,240.0,,2018-07-04
2018-07-04 11:50:00,640.1,642.0,642.9,640.1,1769.0,,2018-07-04
2018-07-04 11:55:00,641.75,640.1,642.6,640.1,1171.0,,2018-07-04
2018-07-04 12:00:00,,,,,,,2018-07-04
2018-07-04 12:05:00,641.95,641.95,641.95,641.95,10.0,,2018-07-04
2018-07-04 12:10:00,640.8,642.0,642.65,640.65,1526.0,,2018-07-04
2018-07-04 12:15:00,640.8,641.05,643.0,640.75,1462.0,,2018-07-04
2018-07-04 12:20:00,641.3,640.8,643.0,640.65,1809.0,,2018-07-04
2018-07-04 12:25:00,643.0,640.8,643.0,640.8,155.0,,2018-07-04
2018-07-04 12:30:00,643.0,642.9,643.0,641.4,175.0,,2018-07-04
2018-07-04 12:35:00,643.0,643.0,643.0,643.0,10.0,,2018-07-04
2018-07-04 12:40:00,643.9,643.0,643.95,642.55,350.0,,2018-07-04
2018-07-04 12:45:00,642.8,643.45,643.45,642.8,57.0,,2018-07-04
2018-07-04 12:50:00,643.95,643.9,643.95,643.9,28.0,,2018-07-04
2018-07-04 12:55:00,643.95,643.95,643.95,643.5,35.0,,2018-07-04
2018-07-04 13:00:00,643.95,643.95,643.95,643.95,24.0,,2018-07-04
2018-07-04 13:05:00,643.95,643.95,643.95,643.95,22.0,,2018-07-04
2018-07-04 13:10:00,643.95,643.95,643.95,643.95,117.0,,2018-07-04
2018-07-04 13:15:00,644.95,644.0,644.95,644.0,19.0,69.99999999999939,2018-07-04
2018-07-04 13:20:00,644.25,644.95,644.95,643.5,210.0,74.46808510638266,2018-07-04
2018-07-04 13:25:00,647.0,644.1,647.0,644.1,280.0,81.63265306122413,2018-07-04
2018-07-04 13:30:00,645.25,647.05,648.6,644.35,774.0,67.87330316742072,2018-07-04
2018-07-04 13:35:00,644.95,644.1,644.95,644.1,130.0,60.103626943005324,2018-07-04
2018-07-04 13:40:00,645.95,645.7,645.95,645.7,19.0,63.84976525821606,2018-07-04
2018-07-04 13:45:00,645.2,646.0,647.2,645.2,158.0,59.64912280701766,2018-07-04
2018-07-04 13:50:00,644.05,645.0,645.0,643.55,201.0,50.64377682403422,2018-07-04
2018-07-04 13:55:00,644.05,644.05,644.05,644.05,12.0,55.92417061611364,2018-07-04
2018-07-04 14:00:00,644.0,644.05,644.05,642.8,46.0,50.26455026455002,2018-07-04
2018-07-04 14:05:00,643.9,642.8,644.0,642.8,54.0,49.7382198952876,2018-07-04
2018-07-04 14:10:00,642.1,644.0,644.0,642.1,44.0,41.8502202643171,2018-07-04
2018-07-04 14:15:00,644.2,644.0,644.2,642.85,70.0,50.929368029739784,2018-07-04
2018-07-04 14:20:00,645.7,645.7,645.7,645.7,40.0,55.85284280936454,2018-07-04
2018-07-04 14:25:00,646.0,645.35,646.35,645.35,39.0,53.68421052631564,2018-07-04
2018-07-04 14:30:00,646.15,645.95,647.0,645.95,56.0,56.934306569343015,2018-07-04
2018-07-04 14:35:00,645.1,646.05,649.45,644.3,672.0,42.08333333333335,2018-07-04
2018-07-04 14:40:00,644.95,644.95,644.95,644.95,30.0,48.55769230769251,2018-07-04
2018-07-04 14:45:00,643.6,644.1,644.1,643.6,56.0,44.10480349344965,2018-07-04
2018-07-04 14:50:00,644.9,644.5,644.9,644.5,38.0,45.53191489361669,2018-07-04
2018-07-04 14:55:00,645.0,644.95,645.0,643.0,312.0,49.099099099098886,2018-07-04
2018-07-04 15:00:00,648.0,646.4,649.0,646.4,176.0,65.25096525096563,2018-07-04
2018-07-04 15:05:00,648.0,648.8,648.8,648.0,264.0,65.25096525096563,2018-07-04
2018-07-04 15:10:00,648.1,648.0,648.7,648.0,323.0,65.76923076923099,2018-07-04
2018-07-04 15:15:00,651.95,648.7,651.95,648.7,384.0,74.02985074626902,2018-07-04
2018-07-04 15:20:00,651.1,651.95,652.05,650.0,391.0,78.48101265822793,2018-07-04
2018-07-04 15:25:00,648.7,650.2,650.2,648.0,795.0,63.975155279503184,2018-07-04
2018-07-04 15:30:00,648.45,648.0,658.7,648.0,1405.0,59.25925925925931,2018-07-04
2018-07-05 09:15:00,,,,,,,2018-07-05
2018-07-05 09:20:00,646.15,646.15,646.15,646.15,12.0,,2018-07-05
2018-07-05 09:25:00,649.4,649.4,649.4,647.7,129.0,,2018-07-05
2018-07-05 09:30:00,648.8,650.2,650.95,648.35,144.0,,2018-07-05
2018-07-05 09:35:00,649.1,648.65,652.3,647.6,405.0,,2018-07-05
2018-07-05 09:40:00,648.15,649.1,649.15,647.35,264.0,,2018-07-05
2018-07-05 09:45:00,646.2,647.35,648.0,646.2,121.0,,2018-07-05
2018-07-05 09:50:00,648.2,646.15,650.2,644.85,550.0,,2018-07-05
