DATE,CLOSE,OPEN,HIGH,LOW,VOLUME,14_RSI,ONLY_DATES
2018-07-26 09:15:00,536.7,536.7,536.7,536.7,2181,,2018-07-26
2018-07-26 09:20:00,535.0,535.05,535.55,534.2,227028,,2018-07-26
2018-07-26 09:25:00,532.85,535.0,535.55,532.85,185156,,2018-07-26
2018-07-26 09:30:00,532.7,532.7,532.95,531.5,111338,,2018-07-26
2018-07-26 09:35:00,533.35,532.65,533.55,532.45,65109,,2018-07-26
2018-07-26 09:40:00,532.55,533.35,533.5,532.5,45227,,2018-07-26
2018-07-26 09:45:00,532.9,532.5,533.2,532.4,38047,,2018-07-26
2018-07-26 09:50:00,533.1,532.85,533.4,532.7,33551,,2018-07-26
2018-07-26 09:55:00,533.3,533.2,533.45,532.55,30215,,2018-07-26
2018-07-26 10:00:00,532.9,533.3,533.6,532.3,68336,,2018-07-26
2018-07-26 10:05:00,533.0,532.8,533.5,532.8,25744,,2018-07-26
2018-07-26 10:10:00,533.25,533.15,533.6,533.0,27607,,2018-07-26
2018-07-26 10:15:00,534.25,533.25,534.7,533.25,80039,,2018-07-26
2018-07-26 10:20:00,535.9,534.2,535.9,534.0,238933,,2018-07-26
2018-07-26 10:25:00,536.5,535.7,537.75,535.7,155365,49.01960784313704,2018-07-26
2018-07-26 10:30:00,536.85,536.5,537.0,535.6,72289,60.451977401130044,2018-07-26
2018-07-26 10:35:00,536.9,536.85,537.2,536.5,48095,79.99999999999966,2018-07-26
2018-07-26 10:40:00,535.75,536.6,536.85,535.5,48794,69.6774193548384,2018-07-26
2018-07-26 10:45:00,536.0,536.0,536.3,535.7,38420,68.02721088435354,2018-07-26
2018-07-26 10:50:00,538.25,536.0,538.45,536.0,106128,82.38636363636407,2018-07-26
2018-07-26 10:55:00,539.05,538.4,539.95,537.6,189286,83.24324324324353,2018-07-26
2018-07-26 11:00:00,539.6,539.15,539.9,538.6,69630,83.85416666666698,2018-07-26
2018-07-26 11:05:00,538.7,539.7,539.85,538.25,68149,76.21359223301027,2018-07-26
2018-07-26 11:10:00,538.3,538.55,538.95,537.45,59471,76.21359223300942,2018-07-26
2018-07-26 11:15:00,537.6,538.3,538.5,537.45,33905,71.10091743119281,2018-07-26
2018-07-26 11:20:00,536.3,537.6,537.65,536.05,106640,62.761506276150385,2018-07-26
2018-07-26 11:25:00,536.2,536.3,537.3,536.0,106980,58.82352941176495,2018-07-26
2018-07-26 11:30:00,535.5,536.2,536.6,534.6,181014,48.01980198019813,2018-07-26
2018-07-26 11:35:00,535.85,535.4,536.3,535.3,38018,46.70050761421332,2018-07-26
2018-07-26 11:40:00,536.05,535.8,536.8,535.7,36476,45.87628865979344,2018-07-26
2018-07-26 11:45:00,536.55,536.05,536.8,535.9,33505,48.2758620689654,2018-07-26
2018-07-26 11:50:00,536.5,536.55,536.75,535.5,40298,54.1436464088398,2018-07-26
2018-07-26 11:55:00,535.8,536.55,536.7,535.5,43346,48.947368421052396,2018-07-26
2018-07-26 12:00:00,535.35,535.8,536.4,534.8,77703,31.168831168831147,2018-07-26
2018-07-26 12:05:00,535.3,535.2,535.8,534.85,33987,23.02158273381312,2018-07-26
2018-07-26 12:10:00,535.0,535.2,535.3,534.7,37003,15.671641791044266,2018-07-26
2018-07-26 12:15:00,535.7,535.1,535.7,534.0,73465,26.92307692307692,2018-07-26
2018-07-26 12:20:00,536.5,535.7,536.5,535.2,25404,36.95652173913051,2018-07-26
2018-07-26 12:25:00,536.7,536.5,536.8,535.75,30331,42.968750000000156,2018-07-26
2018-07-26 12:30:00,536.05,536.8,536.95,536.05,24876,47.82608695652174,2018-07-26
2018-07-26 12:35:00,536.1,536.05,536.8,535.95,18259,49.12280701754368,2018-07-26
2018-07-26 12:40:00,536.6,536.0,536.6,535.95,17492,60.0,2018-07-26
2018-07-26 12:45:00,536.3,536.35,536.65,535.95,25739,54.12844036697173,2018-07-26
2018-07-26 12:50:00,537.35,536.3,538.0,536.3,69341,60.31746031746037,2018-07-26
2018-07-26 12:55:00,537.7,537.35,538.7,537.15,66164,59.34959349593522,2018-07-26
2018-07-26 13:00:00,538.5,537.7,538.7,537.6,44422,64.49275362318772,2018-07-26
2018-07-26 13:05:00,537.6,538.35,539.0,537.5,46987,62.676056338028204,2018-07-26
2018-07-26 13:10:00,538.2,537.65,538.5,537.6,22365,69.65517241379234,2018-07-26
2018-07-26 13:15:00,538.4,538.25,538.5,537.8,33869,70.94594594594551,2018-07-26
2018-07-26 13:20:00,537.2,538.4,538.6,537.2,36762,63.25301204819276,2018-07-26
2018-07-26 13:25:00,537.65,537.2,537.75,536.4,37972,62.1118012422355,2018-07-26
2018-07-26 13:30:00,538.1,537.65,538.2,537.1,46355,60.389610389610326,2018-07-26
2018-07-26 13:35:00,537.4,538.15,538.5,537.4,28819,54.26829268292634,2018-07-26
2018-07-26 13:40:00,537.2,537.25,537.6,536.15,60744,57.41935483871026,2018-07-26
2018-07-26 13:45:00,536.4,537.2,537.2,535.95,56798,51.76470588235267,2018-07-26
2018-07-26 13:50:00,536.55,536.35,537.3,536.1,34808,49.693251533741915,2018-07-26
2018-07-26 13:55:00,537.35,536.55,537.5,536.4,30464,56.06936416185012,2018-07-26
2018-07-26 14:00:00,537.4,537.3,537.9,537.3,54017,50.326797385620615,2018-07-26
2018-07-26 14:05:00,537.55,537.4,537.9,537.0,27123,48.99328859060339,2018-07-26
2018-07-26 14:10:00,538.0,537.55,538.6,537.55,47450,46.478873239436574,2018-07-26
2018-07-26 14:15:00,538.3,537.95,538.5,537.9,23362,55.38461538461495,2018-07-26
2018-07-26 14:20:00,537.0,538.3,538.7,536.85,47333,41.666666666666146,2018-07-26
2018-07-26 14:25:00,536.9,536.95,537.6,536.25,83548,39.43661971830972,2018-07-26
2018-07-26 14:30:00,536.5,537.0,537.0,535.85,79366,44.444444444444045,2018-07-26
2018-07-26 14:35:00,536.65,536.45,537.3,536.4,36309,41.66666666666667,2018-07-26
2018-07-26 14:40:00,537.4,536.55,537.45,536.25,40634,44.444444444444045,2018-07-26
2018-07-26 14:45:00,537.15,537.4,537.75,537.05,29519,47.86324786324783,2018-07-26
2018-07-26 14:50:00,537.65,537.15,537.95,536.8,46482,53.65853658536531,2018-07-26
2018-07-26 14:55:00,538.2,537.65,538.45,537.65,52971,65.25423728813624,2018-07-26
2018-07-26 15:00:00,538.05,538.15,538.75,537.8,87615,62.71186440677946,2018-07-26
2018-07-26 15:05:00,535.05,538.35,539.0,534.75,538140,35.8024691358021,2018-07-26
