DATE,CLOSE,OPEN,HIGH,LOW,VOLUME,14_RSI,ONLY_DATES
2018-07-26 09:15:00,,,,,,,2018-07-26
2018-07-26 09:20:00,387.15,388.15,388.7,386.0,10501.0,,2018-07-26
2018-07-26 09:25:00,387.0,387.1,388.8,386.2,17410.0,,2018-07-26
2018-07-26 09:30:00,384.95,387.1,388.5,384.0,41780.0,,2018-07-26
2018-07-26 09:35:00,383.3,384.95,384.95,382.7,30589.0,,2018-07-26
2018-07-26 09:40:00,384.05,383.3,384.5,383.0,11612.0,,2018-07-26
2018-07-26 09:45:00,384.5,383.9,384.9,383.9,9259.0,,2018-07-26
2018-07-26 09:50:00,384.2,385.1,386.65,383.9,27154.0,,2018-07-26
2018-07-26 09:55:00,384.5,384.4,384.7,384.2,2279.0,,2018-07-26
2018-07-26 10:00:00,384.9,384.55,385.1,384.5,2336.0,,2018-07-26
2018-07-26 10:05:00,385.45,384.9,385.65,384.65,4815.0,,2018-07-26
2018-07-26 10:10:00,385.3,385.6,385.9,384.65,2634.0,,2018-07-26
2018-07-26 10:15:00,385.25,385.3,386.5,383.2,19401.0,,2018-07-26
2018-07-26 10:20:00,384.25,385.3,385.45,383.25,10749.0,,2018-07-26
2018-07-26 10:25:00,384.55,384.0,384.55,384.0,1913.0,,2018-07-26
2018-07-26 10:30:00,384.45,384.5,384.7,384.1,1622.0,33.53658536585371,2018-07-26
2018-07-26 10:35:00,384.0,384.9,384.9,384.0,2006.0,32.35294117647058,2018-07-26
2018-07-26 10:40:00,384.2,383.9,384.4,383.0,6026.0,44.36090225563908,2018-07-26
2018-07-26 10:45:00,384.7,384.35,384.7,384.2,5982.0,62.72727272727252,2018-07-26
2018-07-26 10:50:00,384.4,384.5,384.7,384.25,1025.0,53.465346534653115,2018-07-26
2018-07-26 10:55:00,385.2,384.7,385.2,384.7,6017.0,56.48148148148133,2018-07-26
2018-07-26 11:00:00,384.8,385.2,385.2,384.75,1530.0,55.45454545454566,2018-07-26
2018-07-26 11:05:00,384.75,384.7,385.1,384.5,1616.0,52.38095238095237,2018-07-26
2018-07-26 11:10:00,384.5,384.75,385.45,384.35,1480.0,46.07843137254926,2018-07-26
2018-07-26 11:15:00,383.0,384.5,384.75,382.95,7986.0,29.75206611570262,2018-07-26
2018-07-26 11:20:00,383.7,383.3,383.95,383.05,2573.0,37.87878787878775,2018-07-26
